year,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,replay_pool_size,replay_target_size,replay_used_size
2017,0.8094540760105372,0.07166537053224249,0.7796503156872268,0.13126488719462087,0.8169047665886333,0.0696836533625743,0.707043667391668,0.12686404743142332,0.8376476831464988,0.17448067164850378,0,1672694,0
2018,0.8826939967677423,0.12687251183002313,0.8009027693058436,0.21904559894945816,0.8759241522804799,0.12472281567169796,0.7651760025574539,0.2144848460711299,0.9074337861216999,0.44429194219491014,5575648,1676042,1676042
2019,0.8835708497806694,0.1232121870012426,0.7764501047310136,0.21267561479552005,0.8942173848077574,0.11836572298785131,0.7423740481005033,0.20417702047095018,0.9017342433967817,0.4209716186608993,11162455,1676031,1676031
2020,0.9005908302120202,0.12870490565292717,0.75157803718115,0.21977429224013686,0.9015601248477346,0.11578518216522739,0.7260388584177745,0.19971998286653156,0.9033321846168529,0.4580084845412459,16749226,1676217,1676217
2021,0.9185291187976061,0.130109770624965,0.7654570682721479,0.22241431739209166,0.9119349123454062,0.12084169655490112,0.7418067969499571,0.20782785232762951,0.904450412355173,0.43493338682051613,22336618,1676056,1676056
2022,0.8148136292756899,0.12698370219712582,0.8582472723029348,0.2212342463002917,0.8136128221629738,0.1129829220839381,0.7977975249413946,0.19793463044492687,0.8881828271966372,0.3527062957334831,27923473,1677624,1677624
