replay_ratio,ratio_key,year,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,replay_pool_size,replay_target_size,replay_used_size
0.2,RR_0.2,2017,0.804904002796507,0.0713511574845853,0.7961534725594949,0.130965230236536,0.8161799538862264,0.06963503589709909,0.7095532876024762,0.12682368860762333,0.8387107084473112,0.18118613033047237,0,1115105,0
0.2,RR_0.2,2018,0.8799057486250533,0.1252752257727208,0.8101308841213685,0.21699522451323178,0.8738316581136361,0.12239398990706277,0.7615529428480091,0.21089388909381532,0.9022187264675348,0.4305536227663183,5575527,1117352,1117352
0.2,RR_0.2,2019,0.901774410336261,0.1424502593735636,0.766922675811113,0.2402717957876637,0.9120595743476093,0.13793103448275862,0.725895968678742,0.2318139662693642,0.9061444288005884,0.431869184300933,11162289,1117340,1117340
0.2,RR_0.2,2020,0.8895153223443689,0.12141186884520341,0.7906614785992218,0.2104999296594237,0.8902674952460494,0.10596499662787048,0.7376127173003626,0.18530866287929657,0.9014138324614114,0.45915219868757723,16748990,1117472,1117472
0.2,RR_0.2,2021,0.9200972787614302,0.13204000545788164,0.7623997554149714,0.22509569066527796,0.914312834672482,0.1232749368286726,0.7366055648134121,0.21120377609822488,0.9041858083476093,0.4367721679028066,22336353,1117366,1117366
0.2,RR_0.2,2022,0.8338196131839898,0.1380833137550402,0.8435964758737382,0.23732096370196015,0.8347934731788197,0.12220224386463671,0.7651147576732269,0.21074484099722576,0.8841408878259509,0.34395362809127583,27923184,1118423,1118423
0.3,RR_0.3,2017,0.8191462439335331,0.07486136349763109,0.7743079164643031,0.13652341826620482,0.8258001054478781,0.07361261066724249,0.712941274887067,0.13344659396065106,0.8442833235215892,0.18328410846983104,0,1672658,0
0.3,RR_0.3,2018,0.8452570558760155,0.10115309894010227,0.8284738318897158,0.18029317505167541,0.8385498170128508,0.10098785118717821,0.7963272120200334,0.1792444533280032,0.9001439998964071,0.4247258597318936,5575527,1676028,1676028
0.3,RR_0.3,2019,0.8893305727297738,0.12908489053110186,0.7768389793808055,0.2213832264369307,0.8935578040728117,0.11837196002069773,0.7480101535946306,0.20439809780212675,0.9041140979977392,0.42112648430110655,11162289,1676010,1676010
0.3,RR_0.3,2020,0.8757571326581073,0.11115138016697747,0.8102992746313109,0.19548715333711916,0.876549850814817,0.0977634720226147,0.7651761643580924,0.1733754607688257,0.9038276102693152,0.4587496953955351,16748990,1676208,1676208
0.3,RR_0.3,2021,0.9099963825646418,0.12113259493154337,0.7853648785306084,0.2098920040916826,0.9001422640669593,0.10860260605352343,0.7508458314396809,0.18975847876718885,0.8996195829567684,0.43421925812930484,22336353,1676049,1676049
0.3,RR_0.3,2022,0.8161445506495216,0.1274804533449977,0.8553299492385786,0.2218898973837744,0.81049587653574,0.1112061818817928,0.7971160660742518,0.195182347287484,0.8860688684061926,0.35336136721166445,27923184,1677634,1677634
0.4,RR_0.4,2017,0.8130535463284457,0.0717644194869242,0.7645556095191841,0.13121266400332737,0.8249887863264005,0.07080614261558488,0.6848335285260164,0.12834270708812637,0.8345896427969485,0.17600165684203337,0,2230210,0
0.4,RR_0.4,2018,0.8893665060369494,0.13193515126253208,0.7860889872601474,0.22594780482978774,0.882087704867757,0.12947289642289977,0.755834191738003,0.2210759256950505,0.903989217966673,0.43805964000414066,5575527,2234704,2234704
0.4,RR_0.4,2019,0.8943227854864615,0.13344608606689587,0.7677711295924771,0.2273726033169792,0.8996857388675589,0.12443113082550838,0.7434496407520543,0.21318200043179225,0.9045501595441602,0.4235206248808142,11162289,2234680,2234680
0.4,RR_0.4,2020,0.8733601163912207,0.10851068798555215,0.8035451794206658,0.19120153350776184,0.8766190563820903,0.09669788836455503,0.7543460072510924,0.17142163024304713,0.9032027191894381,0.4554373838450313,16748990,2234945,2234945
0.4,RR_0.4,2021,0.9096265843731446,0.1206639525995956,0.7852237717833541,0.20918310609205035,0.9027382490588473,0.11126829085737809,0.7506943392415291,0.19380997079682938,0.9048219944710292,0.4330136870656278,22336353,2234732,2234732
0.4,RR_0.4,2022,0.8114626019918042,0.1240364937954927,0.8497987047085594,0.21647615926374295,0.8064105233793941,0.10874084247375433,0.7942266804775664,0.19129121735847818,0.8827601841612941,0.35043757081968474,27923184,2236846,2236846
