year,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,replay_pool_size,replay_target_size,replay_used_size
2017,0.8177668317655634,0.07563265784146235,0.7903836813987373,0.1380547128964174,0.8278110676135582,0.07234318913842887,0.6895599799230383,0.13094831489233263,0.8400197544027005,0.19236107926628143,0,2787824,0
2018,0.8942514033507869,0.1370619368630997,0.7832743686714652,0.23329972189454315,0.8882682003544844,0.1341348284299559,0.7418747557986716,0.22719213323035756,0.902443028806012,0.4301258182608062,5575648,2793403,2793403
2019,0.8953991491686343,0.1349637933759075,0.7699187782265549,0.22966772078897033,0.8981880667206682,0.12329233519172661,0.7478380587703825,0.21168518800426245,0.9046788755047426,0.4334214827270049,11162455,2793385,2793385
2020,0.8832856187645327,0.11572376964349321,0.7928231733679204,0.20196751965010995,0.885207084770794,0.10283624573988742,0.7489541693780793,0.18084175084175083,0.9039558000898184,0.4606692411015954,16749226,2793696,2793696
2021,0.9375145766267426,0.15972206113933282,0.7287222784036124,0.2620153432789124,0.9298676747095678,0.14349577621112777,0.7050951875978387,0.2384616041465643,0.9046497513592066,0.43792905625403766,22336618,2793427,2793427
2022,0.7947280797127366,0.11680993516619695,0.8684112258591516,0.20592139715033023,0.7901806446441916,0.1025743667609911,0.8102273346780788,0.18209553215342486,0.8829959016920162,0.34634854315811703,27923473,2796040,2796040
