replay_ratio,ratio_key,year,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,replay_pool_size,replay_target_size,replay_used_size
0.2,RR_0.2,2017,0.8114606564855387,0.07454837851242738,0.7718734552644587,0.13596509969500126,0.8082011706765517,0.06974175945952142,0.7247637201175443,0.12723964360908546,0.8435113437246621,0.18696855225055314,0,1136835,0
0.2,RR_0.2,2018,0.8678975104743789,0.1117535169696366,0.8151935072299404,0.1965608369527366,0.8629443255063665,0.12523714390672255,0.8229283777527941,0.2173907346666026,0.9202513863751562,0.4921522344544914,5684177,1138731,1138731
0.2,RR_0.2,2019,0.8489155446937016,0.09867915388341676,0.800188550777772,0.17569199277820582,0.8524615873040159,0.09913002450567386,0.7819086317548324,0.17595282857631175,0.8979159236641284,0.4236735959341258,11377832,1138663,1138663
0.2,RR_0.2,2020,0.8724237028992354,0.10916734438220126,0.8045098787376807,0.19224777584176647,0.8760898880873578,0.12507154480668875,0.7858477594048584,0.21579780513426247,0.9151664381232599,0.47202461087182485,17071151,1138824,1138824
0.2,RR_0.2,2021,0.9265919689635628,0.14249907707851633,0.7608497688840732,0.24004102146353526,0.9120974095007917,0.12998786437027332,0.7078027219815325,0.21963904995993971,0.9062031825950319,0.42784271862636275,22765273,1138687,1138687
0.2,RR_0.2,2022,0.80049307285283,0.11534045656243859,0.8523224365004703,0.20318493076283178,0.7844629359759802,0.10879886466262417,0.8545588123527474,0.19302286324113838,0.8997116761287993,0.38165742426451266,28458710,1139791,1139791
0.3,RR_0.3,2017,0.8060841525518998,0.0739668478326157,0.7890921074312077,0.13525531594406648,0.8028005230584672,0.06924577855595454,0.7412834564371377,0.12665983620461532,0.8489356268974502,0.18623115166891296,0,1705253,0
0.3,RR_0.3,2018,0.8914057841579793,0.12978485897026465,0.7849624326623192,0.22274182072343196,0.8871855120418112,0.14602956093319808,0.7997486938694531,0.24696476162274208,0.9222108078394876,0.5078410574682671,5684177,1708096,1708096
0.3,RR_0.3,2019,0.895857583248014,0.1339044639413216,0.763656837584455,0.2278553215207545,0.9000952428309689,0.13581523371733162,0.7382751680401017,0.22942481531308268,0.9010852901521609,0.4305085888521657,11377832,1707995,1707995
0.3,RR_0.3,2020,0.8726019568951983,0.10855015196413165,0.7973904870036201,0.19108726293064995,0.8762023285111434,0.12379728427211391,0.7743539117864824,0.213467201881676,0.9107487883547569,0.46958874672441153,17071151,1708236,1708236
0.3,RR_0.3,2021,0.9283900041398544,0.1466680757934044,0.7678581720516869,0.24629206836311202,0.9102602736582867,0.12796018176520157,0.711041092293554,0.21688869904156766,0.8997013696223887,0.4252495590449987,22765273,1708031,1708031
0.3,RR_0.3,2022,0.8140502951856963,0.12292407525929192,0.8525870178739416,0.21486884462505604,0.7997817493219785,0.11513583441138421,0.8432599498391306,0.20260823251921176,0.9009262064409241,0.38898705368105657,28458710,1709686,1709686
0.4,RR_0.4,2017,0.8398204348668241,0.08415533783061396,0.7421596089416158,0.1511692190942153,0.8327683719690302,0.07562692824934736,0.6833452466047176,0.1361823361823362,0.843229507603865,0.18960561602388196,0,2273670,0
0.4,RR_0.4,2018,0.9088685563140022,0.147941708476481,0.7558300255174369,0.24744917568671018,0.9031744611263703,0.1648532071796299,0.7835460617684016,0.2723959949879873,0.922214316689956,0.5165599388940011,5684177,2277462,2277462
0.4,RR_0.4,2019,0.894520753184566,0.13228459658441724,0.7630457933972311,0.22547923332985104,0.8977987048504994,0.1350580774229547,0.753731059886834,0.22907000900214666,0.9056259223515849,0.4290866290002807,11377832,2277327,2277327
0.4,RR_0.4,2020,0.8735462640245503,0.10844359220198146,0.7894614389547058,0.19069284918675108,0.8763224179433499,0.12315006387861932,0.7680781299580439,0.21226633408197368,0.907773551106827,0.4782301155850074,17071151,2277648,2277648
0.4,RR_0.4,2021,0.9326427955556547,0.15427132048476883,0.7631551646628935,0.2566591588390133,0.9181717362539867,0.13993238327555954,0.7154610301518534,0.23408215569205218,0.9077342619398878,0.4381236145984042,22765273,2277374,2277374
0.4,RR_0.4,2022,0.8187195722724605,0.12423641571030863,0.8388346660395108,0.21641977265676968,0.8009647046776408,0.11540523230719964,0.8399412256479112,0.2029287102351843,0.8992140679483107,0.3858071104772999,28458710,2279582,2279582
0.5,RR_0.5,2017,0.7812849599862918,0.06810209486897642,0.8183940242763772,0.12574075910271368,0.7792391445067753,0.06413966145289542,0.7684457151933921,0.11839710232713234,0.8500779592718766,0.19379382336432466,0,2842088,0
0.5,RR_0.5,2018,0.8507292767124106,0.10147765884508157,0.8314165721576411,0.1808783985658799,0.8457262221365562,0.11500323345548609,0.8467693935586271,0.20250361783056692,0.9238057680396676,0.5104444834086062,5684177,2846827,2846827
0.5,RR_0.5,2019,0.8400286370744376,0.0951749033963799,0.8170097243317795,0.17048921725603347,0.8457119688490917,0.09695214453178871,0.800896213876125,0.17296596859712215,0.9023565376912291,0.42840546071152863,11377832,2846659,2846659
0.5,RR_0.5,2020,0.8791826026909856,0.11198140171598313,0.7795501288935628,0.19583180884627208,0.8823727836041975,0.12858479726128005,0.7654338398617918,0.22018143924219452,0.9118119786077441,0.47576106164143683,17071151,2847061,2847061
0.5,RR_0.5,2021,0.915800772011704,0.12914931880520775,0.7880649660530472,0.22192862719256246,0.8979708903454764,0.11745897725149315,0.7427246072381952,0.20283965962329095,0.9079272419277656,0.4416675396435492,22765273,2846718,2846718
0.5,RR_0.5,2022,0.7706153145620557,0.10369763209637499,0.8747530573847601,0.1854152114052202,0.7497621480268412,0.09631930563304074,0.8703924201352824,0.1734448673808346,0.896542023364788,0.39154091149490616,28458710,2849477,2849477
