source_id,source_label,source_section,evaluation_scope,row_uid,model_year,eval_year,year,years_included,scaler_year_used,threshold_used,threshold_source,threshold_reason,n_val_threshold_samples,n_test_samples,accuracy,precision,recall,f1_score,roc_auc,pr_auc
year_model_cumulative,Year model on cumulative years,14,year_model_on_2017_to_current_year,year_model_cumulative:2021:None,2021,,2021,2017-2021,,0.9426731467247009,computed_pr_f1_eval_year,max F1 on eval-year 2021 validation PR curve,1307470,5690815,0.979110022026722,0.4255353568034295,0.40410557747885284,0.41454369955234244,0.867917552129395,0.3810811232456029
year_model_cumulative,Year model on cumulative years,14,year_model_on_2017_to_current_year,year_model_cumulative:2022:None,2022,,2022,2017-2022,,0.9248532056808472,computed_pr_f1_eval_year,max F1 on eval-year 2022 validation PR curve,1308587,6830415,0.9481072526339908,0.18863993965502002,0.44735830730422266,0.26537697076214894,0.8228827530950192,0.2986086657458177
year_model_next_year,Year model on next year,14,year_model_on_next_year,year_model_next_year:2017:2018,2017,2018.0,2017,,2018.0,0.9142099618911743,computed_pr_f1_eval_year,max F1 on eval-year 2017 validation PR curve,1305399,1138784,0.966401881304971,0.29231754161331625,0.24007150618668724,0.26363093977944146,0.8505072757283593,0.21464446662784215
year_model_next_year,Year model on next year,14,year_model_on_next_year,year_model_next_year:2018:2019,2018,2019.0,2018,,2019.0,0.94538414478302,computed_pr_f1_eval_year,max F1 on eval-year 2018 validation PR curve,1307403,1138747,0.9827345319021696,0.6563399588759424,0.21821164889253486,0.32753018435544,0.8514072237108061,0.3327159369062965
year_model_next_year,Year model on next year,14,year_model_on_next_year,year_model_next_year:2019:2020,2019,2020.0,2019,,2020.0,0.9168249368667603,computed_pr_f1_eval_year,max F1 on eval-year 2019 validation PR curve,1307185,1138965,0.9844016277936548,0.6020939276099312,0.4751876859152935,0.5311658837810735,0.8839477530652519,0.4954255080540022
year_model_next_year,Year model on next year,14,year_model_on_next_year,year_model_next_year:2020:2021,2020,2021.0,2020,,2021.0,0.9341706037521362,computed_pr_f1_eval_year,max F1 on eval-year 2020 validation PR curve,1307359,1138849,0.9835711319059858,0.43688581314878894,0.37386000236882627,0.40292315547612967,0.8954127525755907,0.3426820656718002
year_model_next_year,Year model on next year,14,year_model_on_next_year,year_model_next_year:2021:2022,2021,2022.0,2021,,2022.0,0.9426731467247009,computed_pr_f1_eval_year,max F1 on eval-year 2021 validation PR curve,1307470,1139600,0.9597744822744823,0.35854330223190434,0.22390779814158837,0.2756648284797826,0.8008848039925395,0.24444114968237002
standalone_prior_years,Standalone prior-years,15,year_model_on_all_prior_years_local,standalone_prior_years:2017:2017,2017,2017.0,2017,,2017.0,0.9142099618911743,computed_pr_f1_eval_year,max F1 on eval-year 2017 validation PR curve,1305399,1135470,0.977810950531498,0.2231853906611188,0.2473262888248479,0.2346365320939275,0.8659291488341431,0.15241776277389563
standalone_prior_years,Standalone prior-years,15,year_model_on_all_prior_years_local,standalone_prior_years:2018:2017,2018,2017.0,2017,,2017.0,0.9248324632644653,computed_pr_f1_eval_year,max F1 on eval-year 2017 validation PR curve,1305399,1135470,0.9666728315147032,0.12486075949367088,0.23688760806916426,0.16352785145888593,0.8426210128443208,0.10146362275863338
standalone_prior_years,Standalone prior-years,15,year_model_on_all_prior_years_local,standalone_prior_years:2018:2018,2018,2018.0,2018,,2018.0,0.94538414478302,computed_pr_f1_eval_year,max F1 on eval-year 2018 validation PR curve,1307403,1138784,0.9771484320116897,0.5567122295645877,0.43114024326124295,0.4859451237579756,0.9018477277104446,0.47084373220125325
standalone_prior_years,Standalone prior-years,15,year_model_on_all_prior_years_local,standalone_prior_years:2019:2017,2019,2017.0,2017,,2017.0,0.9164003729820251,computed_pr_f1_eval_year,max F1 on eval-year 2017 validation PR curve,1305399,1135470,0.9611297524373167,0.10191776233146303,0.23381364073006725,0.14195730782689842,0.8067289693440466,0.06929980459734056
standalone_prior_years,Standalone prior-years,15,year_model_on_all_prior_years_local,standalone_prior_years:2019:2018,2019,2018.0,2018,,2018.0,0.9619126319885254,computed_pr_f1_eval_year,max F1 on eval-year 2018 validation PR curve,1307403,1138784,0.9770333970270042,0.554766406862519,0.42164113708857653,0.47912849518043493,0.8906753061502668,0.4505934295417708
standalone_prior_years,Standalone prior-years,15,year_model_on_all_prior_years_local,standalone_prior_years:2019:2019,2019,2019.0,2019,,2019.0,0.9168249368667603,computed_pr_f1_eval_year,max F1 on eval-year 2019 validation PR curve,1307185,1138747,0.981144187427058,0.511984904120767,0.45752438246285665,0.48322503008423584,0.8909029612941263,0.4434132015146159
standalone_prior_years,Standalone prior-years,15,year_model_on_all_prior_years_local,standalone_prior_years:2020:2017,2020,2017.0,2017,,2017.0,0.8771172165870667,computed_pr_f1_eval_year,max F1 on eval-year 2017 validation PR curve,1305399,1135470,0.9582120179309008,0.10111768243785084,0.2584053794428434,0.14535564401376105,0.8236319133552572,0.0783794291425862
standalone_prior_years,Standalone prior-years,15,year_model_on_all_prior_years_local,standalone_prior_years:2020:2018,2020,2018.0,2018,,2018.0,0.9681790471076965,computed_pr_f1_eval_year,max F1 on eval-year 2018 validation PR curve,1307403,1138784,0.9771879478461236,0.5630717499876379,0.39913771951347754,0.46713980964883495,0.8950627217691469,0.4475464719556247
standalone_prior_years,Standalone prior-years,15,year_model_on_all_prior_years_local,standalone_prior_years:2020:2019,2020,2019.0,2019,,2019.0,0.9404760599136353,computed_pr_f1_eval_year,max F1 on eval-year 2019 validation PR curve,1307185,1138747,0.9815621907236638,0.5250026429855165,0.4526478898915322,0.4861478218306412,0.8777900850740911,0.4331783257530255
standalone_prior_years,Standalone prior-years,15,year_model_on_all_prior_years_local,standalone_prior_years:2020:2020,2020,2020.0,2020,,2020.0,0.9341706037521362,computed_pr_f1_eval_year,max F1 on eval-year 2020 validation PR curve,1307359,1138965,0.9856431058021976,0.6595280586952211,0.47112705982340997,0.5496309353310566,0.9024030828714757,0.5169899790138366
