year,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,replay_pool_size,replay_target_size,replay_used_size,hard_target_size,hard_used_size,confident_target_size,confident_used_size,uncertain_target_size,uncertain_used_size,positive_rate_target_size,positive_rate_used_size,positive_rate_target_percent,positive_rate_achieved_percent,misclass_target_size,misclass_used_size,random_target_size,random_used_size,uncertain_threshold_mean,wmean_hard,wmean_confident,wmean_uncertain,wmean_positive_rate,wmean_misclass,wmean_random,artifact_suffix
2017,0.8248872597409306,0.07796685843175266,0.783661971830986,0.1418236249069413,0.8345806857749887,0.07408203294668453,0.6777229379287267,0.13356414219474497,0.8371264344636262,0.19246573828281688,0,2787824,0,0,0,557564,0,557564,0,0,0,10.0,,557564,0,0,0,,,,,,,,"_combined_HE=0_CC=0.1_UP=0.1_PR=(0,10)_MC=0.1_RWS=1_RR=0.5"
2018,0.8776850533766425,0.12068579052701801,0.7882152006831767,0.20932175345787948,0.8682439180124966,0.11682535843082065,0.7548396263275672,0.20233555653941548,0.8974791398216961,0.42417743480012515,5575648,2793403,2793403,0,0,558680,558680,558680,542381,0,0,10.0,,558680,455993,1236349,1236349,0.9030929207801819,,1.0,1.0,,1.0000000000000002,1.0000000000000007,"_combined_HE=0_CC=0.1_UP=0.1_PR=(0,10)_MC=0.1_RWS=1_RR=0.5"
2019,0.899092516947625,0.13853334060651956,0.7631399860358649,0.23449807927586866,0.905255707511187,0.13067953051999848,0.7400937916792153,0.22213613295626236,0.9075232262033622,0.4348583306149618,11162455,2793385,2793385,0,0,558677,558677,558677,549342,0,0,10.0,,558677,558677,1126689,1126689,0.8467351496219635,,1.0,1.0,,1.0000000000000002,0.9999999999999998,"_combined_HE=0_CC=0.1_UP=0.1_PR=(0,10)_MC=0.1_RWS=1_RR=0.5"
2020,0.8972701396286497,0.1273117194799097,0.7711101503578806,0.21854178409124944,0.9015223779891777,0.11541912948034322,0.7233894208422422,0.19907516964816793,0.9036957615795971,0.4555917165797725,16749226,2793696,2793696,0,0,558739,558739,558739,550939,0,0,10.0,,558739,558739,1125279,1125279,0.7538898785909017,,1.0000000000000004,1.0,,1.0000000000000002,0.9999999999999998,"_combined_HE=0_CC=0.1_UP=0.1_PR=(0,10)_MC=0.1_RWS=1_RR=0.5"
2021,0.9054459082972441,0.11669555170421722,0.7933491686460807,0.20346322957315785,0.899196234151359,0.10788477818860662,0.7529162248144221,0.18872701036669493,0.9035631209514117,0.4327897685413673,22336618,2793427,2793427,0,0,558685,558685,558685,553809,0,0,10.0,,558685,558685,1122248,1122248,0.7874874770641327,,0.9999999999999998,0.9999999999999998,,1.0,1.0000000000000002,"_combined_HE=0_CC=0.1_UP=0.1_PR=(0,10)_MC=0.1_RWS=1_RR=0.5"
2022,0.8677231012431867,0.16133180619302276,0.7898010385670109,0.26793318890651613,0.8655070017578063,0.13886635979353204,0.7047375020443766,0.23201489691068583,0.8817537127993258,0.34129645979257045,27923473,2796040,2796040,0,0,559208,559208,559208,555526,0,0,10.0,,559208,559208,1122098,1122098,0.8383873581886292,,1.0000000000000002,0.9999999999999996,,1.0,1.0000000000000002,"_combined_HE=0_CC=0.1_UP=0.1_PR=(0,10)_MC=0.1_RWS=1_RR=0.5"
