year,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,replay_pool_size,replay_target_size,replay_used_size
2017,0.8250981769293901,0.07739729279535498,0.775842642059252,0.1407531871813149,0.8343099954753802,0.07393457965258281,0.677388321900619,0.13331796684955527,0.8384066547226475,0.18551637104370072,0,2230259,0
2018,0.8975386119477547,0.1397867403767146,0.7738371181094128,0.23679803743800332,0.8906980072438127,0.13635498750090216,0.738180655702767,0.23018984958241953,0.9014657293869439,0.43902707906638083,5575648,2234722,2234722
2019,0.8917414012494874,0.12985037995991863,0.7621943135920528,0.2218974496202219,0.8995871245782773,0.123450558483981,0.736565847782128,0.21145983868776325,0.9012636766457855,0.4148413302455489,11162455,2234708,2234708
2020,0.9052285932327641,0.1362566859550485,0.7655666042177067,0.2313392645882597,0.9077977932242816,0.12286382868083295,0.724830343032444,0.2101121703102368,0.9043858264007825,0.46494628799980864,16749226,2234956,2234956
2021,0.9264690062656002,0.1416597183569576,0.7571670468709579,0.2386668371668066,0.9201290617856168,0.13068890133516414,0.7305458768873403,0.22171477613198368,0.9066609786753821,0.4341285168693228,22336618,2234742,2234742
2022,0.8384774538275561,0.1397330944211713,0.8281054904020071,0.23911785393878385,0.8317095038617517,0.12002774613994674,0.7641061985498555,0.20746617721069305,0.8844867417238855,0.353261716748971,27923473,2236832,2236832
