year,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,replay_pool_size,replay_target_size,replay_used_size,uncertain_target_size,uncertain_used_size,random_target_size,random_used_size,uncertain_threshold_mean
2017,0.8347166106450565,0.08061700008607016,0.7642350655658087,0.14584881981429199,0.8430479158305594,0.0768155212481799,0.6663878199765769,0.1377521464329872,0.8353837957156651,0.18884731339992686,0,2787763,0,0,0,0,0,
2018,0.8536329272662769,0.10602242717445401,0.824221405043657,0.18787752386060047,0.8436069307070837,0.10390140688221537,0.7953681668028274,0.18379332279974556,0.9009716422988412,0.42789418394912404,5575527,2793381,2793381,1117352,1117352,1676029,1676029,0.8889443874359131
2019,0.8911275187270628,0.12881778828059517,0.7592777537186138,0.22026567255255378,0.896970950506231,0.12047445975262727,0.7358774684851354,0.20705141784946887,0.9022139374879081,0.42168333929488655,11162289,2793350,2793350,1117340,1117340,1676010,1676010,0.8961865901947021
2020,0.8858962626913627,0.11609420068741975,0.7749339482154008,0.20193601608297856,0.8824236733371397,0.10034908918323122,0.7469089894952124,0.17692752346610147,0.9015821039418777,0.4547841900392799,16748990,2793681,2793681,1117472,1117472,1676209,1676209,0.8966615398724874
2021,0.9044467248069612,0.11230036143995467,0.764316455398509,0.19582789777023912,0.8977130009224751,0.10654363014822903,0.7538756754027167,0.18670118306195443,0.8982075044426883,0.43298595580733623,22336353,2793415,2793415,1117366,1117366,1676049,1676049,0.9028820544481277
2022,0.7864132289101299,0.1133227095970439,0.8746484625707451,0.2006486353360362,0.7867066898738405,0.10173522984839642,0.817287248541678,0.18094640346165683,0.8842865685443501,0.34089427765082697,27923184,2796058,2796058,1118423,1118423,1677635,1677635,0.9006596565246582
