year,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,replay_pool_size,replay_target_size,replay_used_size,hard_target_size,hard_used_size,random_target_size,random_used_size,hard_threshold_mean,weight_policy,year_positive_rate,replay_actual_positive_rate,replay_pool_positive_rate,current_class_weight_0,current_class_weight_1,replay_class_weight_0,replay_class_weight_1,replay_weight_fallback
2017,0.8111441304113495,0.07343875299596526,0.7943661971830986,0.1344478685705502,0.8156889130212391,0.06751993682729916,0.686673916680609,0.12295029788317588,0.8293018208671464,0.18669435135537543,0,2787763,0,0,0,0,0,,post_sampling_replay_class_weights_hard_example_mining_v1,0.01846462226799368,,,0.509405989171098,27.07881010199126,,,no_replay
2018,0.8804255488241668,0.12401770108756222,0.7951428222868994,0.21456923431452316,0.8697252597756973,0.11902835802701714,0.7630447909636628,0.2059329629824906,0.9013145387700793,0.43256588787812705,5575527,2793381,2793381,838014,838014,1955367,1955367,0.9050118327140808,post_sampling_replay_class_weights_hard_example_mining_v1,0.02054105759293129,0.03118264211004514,0.01846462226799368,0.5104859206974264,24.34149253211105,0.5160931479272624,16.03456173583606,balanced
2019,0.8820037084497631,0.12259118624012871,0.7838210469566139,0.2120217455748616,0.8868589143677736,0.11335136937121756,0.7607021468829325,0.19730286173400213,0.9052481231032005,0.4319140623318307,11162289,2793350,2793350,838005,838005,1955345,1955345,0.9030811190605164,post_sampling_replay_class_weights_hard_example_mining_v1,0.020252918493400666,0.058104426584566916,0.019503884911060806,0.5103357891417533,24.687799941668803,0.5308444100516753,8.605196357497567,balanced
2020,0.8684164605020294,0.10532898423116946,0.8091079406254503,0.1863934301052303,0.8702081042864984,0.09413740837933218,0.7736822534163801,0.16785156053042907,0.9063759816539125,0.4588672366887963,16748990,2793681,2793681,838104,838104,1955577,1955577,0.8294893900553385,post_sampling_replay_class_weights_hard_example_mining_v1,0.01862864467549361,0.07725255675218466,0.019753728433774216,0.509491129211395,26.840385262045444,0.5418600762957831,6.472277695661642,balanced
2021,0.8803269689024064,0.09595547659239174,0.8148091531243385,0.17169178088131629,0.8700529027295983,0.0876640866434181,0.7806897944755845,0.1576280345435822,0.8998326081298187,0.41202408312492655,22336353,2793415,2793415,838024,838024,1955391,1955391,0.8427781015634537,post_sampling_replay_class_weights_hard_example_mining_v1,0.01522186728039563,0.10693076395737833,0.01947229254480353,0.5077285770137677,32.847481244561514,0.5598670067458662,4.675922826094235,balanced
2022,0.821039835368222,0.12885940998841885,0.8400665149658674,0.2234442751124368,0.8182909723832013,0.11339013902026088,0.7777081175380254,0.19792302569509962,0.8828009554508176,0.3245114362961416,27923184,2796058,2796058,838817,838817,1957241,1957241,0.8611560225486755,post_sampling_replay_class_weights_hard_example_mining_v1,0.030648505860751102,0.09949292897357637,0.01862187349408291,0.5158087680506265,16.314008985355038,0.5552427250016879,5.025482767049621,balanced
