year,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,replay_pool_size,replay_target_size,replay_used_size,replay_target_positive_rate,replay_actual_positive_rate,weight_policy,current_origin_weight,year_positive_rate,target_positive_rate,replay_multiplier_unclipped,replay_multiplier,replay_pool_positive_rate,current_class_weight_0,current_class_weight_1,replay_class_weight_0,replay_class_weight_1,replay_weight_fallback
2017,0.8228674048289992,0.07624917733772597,0.7731325886352598,0.13880854574007884,0.8333043495367183,0.07405476707448086,0.6833277563995316,0.13362779379588163,0.8359704092259145,0.18205789441653167,0,2230259,0,0.15,,post_sampling_replay_class_weights_v1,,0.018464221557745394,0.15,,,,0.5094057812070024,27.079397765905778,,,no_replay
2018,0.8964229478483864,0.1393875510905272,0.7812701511005768,0.2365685592872626,0.8917745139206703,0.13800309495152566,0.7412353923205343,0.23268494204619578,0.9056602216649245,0.4381411034578635,5575648,2234722,2234722,0.15,0.04606837002544388,post_sampling_replay_class_weights_v1,,0.0205408921410745,0.15,,,0.018464221557745394,0.510485834465298,24.34168859687342,0.5241465785271595,10.85343370568237,balanced
2019,0.8992899476280664,0.1396430558472814,0.7697331789618814,0.2363991694149261,0.9061215662527426,0.13100155076847486,0.7341565202426537,0.22233079914788828,0.9031297599622448,0.43244897402194704,11162455,2234708,2234708,0.15,0.09742122908227831,post_sampling_replay_class_weights_v1,,0.02025266473245458,0.15,,,0.01950359486331636,0.5103356569614573,24.688109273776593,0.5539682697074864,5.132351590203392,balanced
2020,0.8772402222718578,0.11122708077190356,0.7996253062400922,0.19528957664850152,0.8782821090113547,0.0985528551288694,0.7603421028167705,0.17448905576652302,0.9057001809844836,0.4461476085091638,16749226,2234956,2234956,0.15,0.1480364714115177,post_sampling_replay_class_weights_v1,,0.018628547988041647,0.15,,,0.019753450099724013,0.5094910790149083,26.84052457126387,0.5868795825431529,3.3775460549183176,balanced
2021,0.8931880279692241,0.10582168723702881,0.807671503492392,0.18712599524597645,0.8855508520893115,0.09819573956782114,0.775842044134727,0.17432743694189465,0.9040858720156261,0.42791846477367423,22336618,2234742,2234742,0.15,0.1499998657563155,post_sampling_replay_class_weights_v1,,0.01522180189033007,0.15,,,0.019472061526950947,0.5077285433001812,32.847622351308765,0.5882352012154579,3.333336316528992,balanced
2022,0.8679269609876826,0.16349587003392493,0.8039267168446234,0.2717296449282293,0.8675084020307887,0.1418651116830092,0.7122335495829472,0.23660285781552784,0.8854321909355222,0.35814514133288117,27923473,2236832,2236832,0.15,0.15000008941216864,post_sampling_replay_class_weights_v1,,0.030648703165906066,0.15,,,0.01862168076299105,0.515808873040148,16.313903961724723,0.5882353559945869,3.333331346397437,balanced
