year,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,replay_pool_size,replay_target_size,replay_used_size,hard_target_size,hard_used_size,confident_target_size,confident_used_size,uncertain_target_size,uncertain_used_size,positive_rate_target_size,positive_rate_used_size,positive_rate_target_percent,positive_rate_achieved_percent,misclass_target_size,misclass_used_size,random_target_size,random_used_size,uncertain_threshold_mean,wmean_hard,wmean_confident,wmean_uncertain,wmean_positive_rate,wmean_misclass,wmean_random,artifact_suffix,run_key,replay_ratio
2017,0.8111441304113495,0.07343875299596526,0.7943661971830986,0.1344478685705502,0.8156889130212391,0.06751993682729916,0.686673916680609,0.12295029788317588,0.8293018208671464,0.18669435135537543,0,2787763,0,0,0,557552,0,557552,0,0,0,10.0,,557552,0,0,0,,,,,,,,"_combined_HE=0_CC=0.1_UP=0.1_PR=(0,10)_MC=0.1_RWS=1_RR=0.5","RR_0.5_combined_HE=0_CC=0.1_UP=0.1_PR=(0,10)_MC=0.1_RWS=1_RR=0.5",0.5
2018,0.8764336121710572,0.12167175417977984,0.8065145785043308,0.2114447069144343,0.8685810986148966,0.11959860068651765,0.7759741412993286,0.20725378769910915,0.9049862933141176,0.43760136182242965,5575527,2793381,2793381,0,0,558676,558676,558676,542431,0,0,10.0,,558676,527516,1164758,1164758,0.9050118327140808,,1.0000000000000002,1.0000000000000002,,0.9999999999999996,1.000000000000001,"_combined_HE=0_CC=0.1_UP=0.1_PR=(0,10)_MC=0.1_RWS=1_RR=0.5","RR_0.5_combined_HE=0_CC=0.1_UP=0.1_PR=(0,10)_MC=0.1_RWS=1_RR=0.5",0.5
2019,0.8985141678425246,0.13784358351501377,0.7633167472403157,0.23351741572653964,0.9036643351363765,0.128274270990165,0.7367809663124382,0.21850637336837941,0.9038487075387944,0.42913703434589934,11162289,2793350,2793350,0,0,558670,558670,558670,548943,0,0,10.0,,558670,558670,1127067,1127067,0.8693717122077942,,1.0,1.0,,1.0,1.0,"_combined_HE=0_CC=0.1_UP=0.1_PR=(0,10)_MC=0.1_RWS=1_RR=0.5","RR_0.5_combined_HE=0_CC=0.1_UP=0.1_PR=(0,10)_MC=0.1_RWS=1_RR=0.5",0.5
2020,0.8898643241901412,0.12053935226073442,0.7801988759187203,0.20881686642272512,0.8901518904916269,0.1054873732989677,0.7343125406711909,0.18447418202199958,0.9012077970782642,0.45057125995425074,16748990,2793681,2793681,0,0,558736,558736,558736,550910,0,0,10.0,,558736,558736,1125299,1125299,0.7464101314544678,,1.0,1.0000000000000002,,0.9999999999999998,1.0,"_combined_HE=0_CC=0.1_UP=0.1_PR=(0,10)_MC=0.1_RWS=1_RR=0.5","RR_0.5_combined_HE=0_CC=0.1_UP=0.1_PR=(0,10)_MC=0.1_RWS=1_RR=0.5",0.5
2021,0.8910711635988273,0.10340517404643763,0.8025446250088192,0.18320500035567272,0.8860912298803298,0.09714874834885144,0.7613492905115387,0.1723105406918936,0.9028138540904495,0.4311876642664608,22336353,2793415,2793415,0,0,558683,558683,558683,553881,0,0,10.0,,558683,558683,1122168,1122168,0.8128273189067841,,1.0,0.9999999999999998,,0.9999999999999998,1.0,"_combined_HE=0_CC=0.1_UP=0.1_PR=(0,10)_MC=0.1_RWS=1_RR=0.5","RR_0.5_combined_HE=0_CC=0.1_UP=0.1_PR=(0,10)_MC=0.1_RWS=1_RR=0.5",0.5
2022,0.8473833518474939,0.14652924324526018,0.8248555925083144,0.24885186860694564,0.8487437087211563,0.12857592401876644,0.7350760508095732,0.21886844518752385,0.8821920402658875,0.3475914829748812,27923184,2796058,2796058,0,0,559211,559211,559211,555701,0,0,10.0,,559211,559211,1121935,1121935,0.8324576616287231,,1.0000000000000002,1.0000000000000004,,1.0,1.0000000000000013,"_combined_HE=0_CC=0.1_UP=0.1_PR=(0,10)_MC=0.1_RWS=1_RR=0.5","RR_0.5_combined_HE=0_CC=0.1_UP=0.1_PR=(0,10)_MC=0.1_RWS=1_RR=0.5",0.5
