year,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,replay_pool_size,replay_target_size,replay_used_size,hard_target_size,hard_used_size,confident_target_size,confident_used_size,uncertain_target_size,uncertain_used_size,positive_rate_target_size,positive_rate_used_size,positive_rate_target_percent,positive_rate_achieved_percent,random_target_size,random_used_size,uncertain_threshold_mean,wmean_hard,wmean_confident,wmean_uncertain,wmean_positive_rate,wmean_random,artifact_suffix,run_key,replay_ratio
2017,0.836777357537635,0.08130918884821925,0.7612530354541039,0.14692533093866408,0.8448259988590089,0.07496504868656644,0.6392002676928225,0.13419212075710277,0.8318876252598209,0.18128770841345776,0,2787824,0,0,0,1115129,0,557564,0,1115129,0,10.0,,0,0,,,,,,,"_combined_HE=0_CC=0.2_UP=0.1_PR=(0.2,10)_RR=0.5","RR_0.5_combined_HE=0_CC=0.2_UP=0.1_PR=(0.2,10)_RR=0.5",0.5
2018,0.8743280374639754,0.11973429498177486,0.8057738894020461,0.20848820181208802,0.8671304531078724,0.11741308671223796,0.7675203353106241,0.20366940481744877,0.898119354719853,0.42855798624197033,5575648,2793403,2793403,0,0,1117361,1117361,558680,543084,1117361,1117361,10.0,3.2360177239048076,15597,15597,0.8718063831329346,,1.0,1.0,1.0000000000000016,1.0,"_combined_HE=0_CC=0.2_UP=0.1_PR=(0.2,10)_RR=0.5","RR_0.5_combined_HE=0_CC=0.2_UP=0.1_PR=(0.2,10)_RR=0.5",0.5
2019,0.8508258169164263,0.10198242048269071,0.8155231689748734,0.1812937767080898,0.8600887092334673,0.09575535807631992,0.7881082476444521,0.17076297059330764,0.9056872155415996,0.4290957542333314,11162455,2793385,2793385,0,0,1117354,1117354,558677,543550,1117354,1117354,10.0,9.746060782885282,15127,15127,0.9087637364864349,,0.9999999999999996,0.9999999999999998,1.0,1.0000000000000002,"_combined_HE=0_CC=0.2_UP=0.1_PR=(0.2,10)_RR=0.5","RR_0.5_combined_HE=0_CC=0.2_UP=0.1_PR=(0.2,10)_RR=0.5",0.5
2020,0.8872704832594527,0.118742685266695,0.7866359225632896,0.2063385659095434,0.893763039377051,0.10823134977027829,0.7292460723249977,0.18848815416406361,0.901218431252842,0.45814380304628183,16749226,2793696,2793696,0,0,1117478,1117478,558739,548711,1117478,1117478,10.0,10.000017897444065,10029,10029,0.8628000617027283,,1.0,0.9999999999999998,0.9999999999999998,1.0,"_combined_HE=0_CC=0.2_UP=0.1_PR=(0.2,10)_RR=0.5","RR_0.5_combined_HE=0_CC=0.2_UP=0.1_PR=(0.2,10)_RR=0.5",0.5
2021,0.9164635559720093,0.12609673614458303,0.756767244420404,0.2161734573914212,0.9094412801117299,0.11665098777046096,0.7326162702620815,0.20125681468225895,0.9005696535337623,0.434695847430854,22336618,2793427,2793427,0,0,1117371,1117371,558685,551618,1117371,1117371,10.0,9.999991050421032,7067,7067,0.8430595397949219,,1.0,0.9999999999999998,0.9999999999999988,1.0,"_combined_HE=0_CC=0.2_UP=0.1_PR=(0.2,10)_RR=0.5","RR_0.5_combined_HE=0_CC=0.2_UP=0.1_PR=(0.2,10)_RR=0.5",0.5
2022,0.7866099912733724,0.11285414671402766,0.8690355329949239,0.19976635984071697,0.7819204484645323,0.0982665901599968,0.8029220956223082,0.1751029895197389,0.8769703304185136,0.32300738473734775,27923473,2796040,2796040,0,0,1118416,1118416,559208,553484,1118416,1118416,10.0,10.000035764867455,5724,5724,0.8362568974494934,,0.9999999999999993,1.0,0.9999999999999996,1.0,"_combined_HE=0_CC=0.2_UP=0.1_PR=(0.2,10)_RR=0.5","RR_0.5_combined_HE=0_CC=0.2_UP=0.1_PR=(0.2,10)_RR=0.5",0.5
