year,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,replay_pool_size,replay_target_size,replay_used_size,uncertain_target_size,uncertain_used_size,random_target_size,random_used_size,uncertain_threshold_mean
2017,0.8347166106450565,0.08061700008607016,0.7642350655658087,0.14584881981429199,0.8430479158305594,0.0768155212481799,0.6663878199765769,0.1377521464329872,0.8353837957156651,0.18884731339992686,0,1115105,0,0,0,0,0,
2018,0.8561782298941677,0.10851653036307457,0.8318112898447168,0.1919868223633665,0.8491036224692806,0.10757254747821418,0.79714417646432,0.1895639320029564,0.9045452125602557,0.43215151583653266,5575527,1117352,1117352,446940,446940,670412,670412,0.8889443874359131
2019,0.872689624878797,0.11361281303216438,0.7771483114885945,0.19824395874689582,0.8817321167642114,0.10886191217459253,0.761218431355677,0.19048285514345698,0.901663109691772,0.4216758301693793,11162289,1117340,1117340,446936,446936,670404,670404,0.9337498545646667
2020,0.8930695929367753,0.12402725069727036,0.7818417639429313,0.21409206606025927,0.8960398686981647,0.11109861767992298,0.7348238356419076,0.19301512108466465,0.9034226597896752,0.45842625643629836,16748990,1117472,1117472,446988,446988,670484,670484,0.909787674744924
2021,0.9184038321545792,0.13157424113565372,0.7786152724536112,0.22510853416829,0.9097830335354705,0.11838920561912497,0.7434732111296268,0.20425348908187896,0.9035911557397552,0.4419933788349467,22336353,1117366,1117366,446946,446946,670420,670420,0.9008618742227554
2022,0.7985980619858386,0.1190191010527643,0.8702491393896961,0.2093997684910573,0.79748152397267,0.10630726264943503,0.8134710788856785,0.18804070445165558,0.885613546755895,0.35005586116997683,27923184,1118423,1118423,447369,447369,671054,671054,0.9022171258926391
