year,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,replay_pool_size,replay_target_size,replay_used_size
2017,0.783078263274485,0.05804829222973917,0.7058474987858183,0.10727442764065495,0.7887115685765324,0.05832620056267629,0.675506106742513,0.10738067613256692,0.8028691280799116,0.08137520482812884,0,2787763,0
2018,0.8628631396862798,0.10652270824499027,0.768338590773628,0.18710510484383505,0.8665090266845119,0.11259151446174723,0.7308990160906476,0.19512495792063952,0.8752543290613939,0.3534372390569461,5575527,2793381,2793381
2019,0.8307194174164682,0.08434571017482409,0.746586299239043,0.1515680005167458,0.8443841158141927,0.08384132537068723,0.7568300133373489,0.15095942606068927,0.8759321197348862,0.3427491628647655,11162289,2793350,2793350
2020,0.846689574312605,0.0833281654204614,0.7229283758466638,0.1494320782688391,0.8517530242046472,0.08050181120282959,0.744770846890397,0.14529840899919746,0.8818787287036103,0.3997401007268127,16748990,2793681,2793681
2021,0.8783637808267334,0.08754688078855463,0.7419392770630983,0.1566137513605286,0.8739472734293348,0.08671989456404705,0.7442811695197697,0.15534031744693408,0.8856847007506724,0.363290541412296,22336353,2793415,2793415
2022,0.7779314663715846,0.103397734152293,0.8141490168621273,0.18349182428642907,0.7722731898207993,0.08957653666794223,0.752930273128714,0.16010526071734946,0.8442445146274592,0.28262786734138834,27923184,2796058,2796058
