year,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,replay_pool_size,replay_target_size,replay_used_size
2017,0.8094540760105372,0.07166537053224249,0.7796503156872268,0.13126488719462087,0.8169047665886333,0.0696836533625743,0.707043667391668,0.12686404743142332,0.8376476831464988,0.17448067164850378,0,1672694,0
2018,0.8801743106572323,0.12473767459607639,0.8033339723592255,0.21594455980820335,0.8737868658321971,0.12307841272191877,0.767555855503854,0.21213995405548683,0.9072666243053575,0.44733015540307913,5575648,1676042,1676042
2019,0.8748536498095233,0.11629067299092088,0.7848374238822063,0.2025666995145808,0.8870081867297908,0.11293163294166045,0.755883491803984,0.19650476749713391,0.9021638957571002,0.4216892755818634,11162455,1676031,1676031
2020,0.8973095139915008,0.12872177788458042,0.782245280299755,0.22106617866665218,0.9028899152189829,0.11760514789704206,0.7288742214372037,0.2025314820794317,0.9043793937677078,0.4634817276627928,16749226,1676217,1676217
2021,0.9364456389149173,0.15886126643303106,0.7393170433432892,0.26152678265029167,0.9285890099312777,0.14292754556060666,0.7176185426450538,0.23837760314012296,0.9055931146438458,0.43439550148490264,22336618,1676056,1676056
2022,0.8042672851604412,0.12143326386650559,0.8638893751093996,0.21293513878492273,0.8010677277938472,0.10708412741628097,0.8040942048737938,0.1889986257091693,0.8855378787892825,0.3459461553375792,27923473,1677624,1677624
