cube,cube_idx,dropped,dem_mean,forest_frac,ndvi_mean,ndvi_forest_mean
mc_-0.04_51.09_1.2_20230627_0,0,False,121.96799145033583,0.415771484375,0.7360287166055202,0.8141575540338931
mc_-0.06_44.09_1.2_20230627_0,1,False,152.75578990206122,0.7406005859375,0.6965636748910958,0.7320283176381218
mc_-0.06_51.21_1.2_20230627_0,2,False,78.7857488503214,0.18511962890625,0.6890500997633268,0.7800968783337572
mc_-0.28_45.20_1.2_20230627_0,3,False,93.9543905230239,0.78289794921875,0.7015448417017807,0.7623173527625965
mc_-0.43_44.22_1.2_20230627_0,4,False,108.55187535006553,0.87213134765625,0.6936736796939039,0.7300275636087665
mc_-0.28_47.20_1.2_20230627_0,5,True,69.48350602760911,0.00445556640625,0.43726264579405105,0.6998836255372994
mc_-0.43_44.47_1.2_20230627_0,6,False,43.44966967147775,0.9898681640625,0.7360421630933712,0.7373519288415323
mc_-0.36_51.83_1.2_20230627_0,7,True,120.93674747692421,0.01409912109375,0.5450737936677232,0.8269348841802668
mc_-0.35_46.59_1.3_20230909_0,8,False,213.51915157493204,0.25927734375,0.6766883285833181,0.8497429141952736
mc_-0.43_53.84_1.2_20230627_0,9,True,18.45362699474208,0.01617431640625,0.5450478676676798,0.7424746921719564
mc_-0.06_44.37_1.3_20230909_0,10,False,126.11124014528468,0.82061767578125,0.7765830515018437,0.8010317534406266
mc_-0.41_47.56_1.3_20230909_0,11,False,21.963878241367638,0.095703125,0.6307590697521608,0.7857466371229076
mc_-0.36_45.25_1.2_20230627_0,12,False,94.25318510318175,0.93182373046875,0.7546700121022756,0.7624923993408003
mc_-0.06_40.72_1.2_20230627_0,13,False,983.0408185906708,0.7822265625,0.5753664936044324,0.6174783450108727
mc_-0.44_46.15_1.2_20230627_0,14,False,64.37439623475075,0.724609375,0.7217806792207663,0.8483125497319174
mc_-0.06_49.09_1.2_20230627_0,15,False,22.964624411368277,0.04339599609375,0.6595043755957234,0.7934996747394226
mc_-0.29_46.47_1.2_20230627_0,16,False,134.91375185223296,0.0914306640625,0.599732616742642,0.8211105119087232
mc_-0.31_48.34_1.2_20230627_0,17,True,199.51156725827605,0.00518798828125,0.6213633599859636,0.816393519293003
mc_-0.31_48.72_1.2_20230627_0,18,True,246.70447032526135,0.04852294921875,0.6705394899956167,0.8365004388522321
mc_-0.00_47.34_1.2_20230627_0,19,False,82.33565241098404,0.56781005859375,0.6791166307470236,0.7986698398540888
