year,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,replay_pool_size,replay_target_size,replay_used_size,confidently_correct_target_size,confidently_correct_used_size,random_target_size,random_used_size,threshold_mean,weight_policy,year_positive_rate,replay_actual_positive_rate,replay_pool_positive_rate,current_class_weight_0,current_class_weight_1,replay_class_weight_0,replay_class_weight_1,replay_weight_fallback
2017,0.8111441304113495,0.07343875299596526,0.7943661971830986,0.1344478685705502,0.8156889130212391,0.06751993682729916,0.686673916680609,0.12295029788317588,0.8293018208671464,0.18669435135537543,0,2230210,0,0,0,0,0,,post_sampling_replay_class_weights_v1,0.01846462226799368,,,0.509405989171098,27.07881010199126,,,no_replay
2018,0.9097305380111056,0.1532298839933629,0.7499956430052807,0.25446965777219305,0.9023397505964579,0.14891096927025071,0.7234397755123788,0.2469834956283424,0.9039017703416456,0.4287933314587883,5575527,2234704,2234704,446940,446940,1787764,1787764,0.9050118327140808,post_sampling_replay_class_weights_v1,0.02054105759293129,0.017040288109745182,0.01846462226799368,0.5104859206974264,24.34149253211105,0.508667846659237,29.3422268907563,balanced
2019,0.8891832585993057,0.12817750367815112,0.7707495558874738,0.2198014910852459,0.8943308738755884,0.11883511130929922,0.7452566364066601,0.20498437943765976,0.9027587676261652,0.4241031845262129,11162289,2234680,2234680,446936,446936,1787744,1787744,0.8945873379707336,post_sampling_replay_class_weights_v1,0.020252918493400666,0.01761639250362468,0.019503884911060806,0.5103357891417533,24.687799941668803,0.5089661474240803,28.38265552366195,balanced
2020,0.900640606311063,0.12998011563121387,0.7611663544218668,0.22204316369328303,0.9026867488640063,0.11646944946762612,0.721483685042298,0.20056206996802015,0.9011278100651725,0.45445718528301,16748990,2234945,2234945,446989,446989,1787956,1787956,0.8953556815783182,post_sampling_replay_class_weights_v1,0.01862864467549361,0.017889925702869645,0.019753728433774216,0.509491129211395,26.840385262045444,0.5091079025513882,27.948690693544755,balanced
2021,0.8718488173349077,0.08995311462155688,0.8137508525199313,0.16199867738027657,0.8645149062700784,0.08502658951986458,0.7888198757763976,0.15350674619942808,0.9008258802196419,0.4259590526256057,22336353,2234732,2234732,446946,446946,1787786,1787786,0.9001157730817795,post_sampling_replay_class_weights_v1,0.01522186728039563,0.017617325030473453,0.01947229254480353,0.5077285770137677,32.847481244561514,0.5089666305602447,28.381153162306326,balanced
2022,0.8341357725769637,0.13795527193263019,0.8405507905945504,0.23701112814809452,0.8275995112349176,0.11830131445904954,0.771793054571226,0.20515607338492306,0.8860623653432445,0.3572933498855562,27923184,2236846,2236846,447369,447369,1789477,1789477,0.9296245217323303,post_sampling_replay_class_weights_v1,0.030648505860751102,0.01683352363104121,0.01862187349408291,0.5158087680506265,16.314008985355038,0.5085608714473315,29.702634514261433,balanced
