year,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,replay_pool_size,replay_target_size,replay_used_size,hard_target_size,hard_used_size,random_target_size,random_used_size,hard_threshold_mean,weight_policy,year_positive_rate,replay_actual_positive_rate,replay_pool_positive_rate,current_class_weight_0,current_class_weight_1,replay_class_weight_0,replay_class_weight_1,replay_weight_fallback
2017,0.8040455566778965,0.07153650124561524,0.8024672170956775,0.13136259233376346,0.8139145830464463,0.06928369966932503,0.7151162790697675,0.12632815617195467,0.8387598635546756,0.18944464223104546,0,1672694,0,0,0,0,0,,post_sampling_replay_class_weights_hard_example_mining_v1,0.018464221557745394,,,0.5094057812070024,27.079397765905778,,,no_replay
2018,0.889333925442565,0.13196580396926566,0.7866292546053434,0.2260150673373276,0.8791576040374112,0.12626169393017286,0.7531346570525344,0.21626666394671618,0.9007558706276761,0.4287630525490204,5575648,1676042,1676042,502812,502812,1173230,1173230,0.8223716020584106,post_sampling_replay_class_weights_hard_example_mining_v1,0.0205408921410745,0.050389548710593174,0.018464221557745394,0.510485834465298,24.34168859687342,0.5265316944659638,9.922692558167071,balanced
2019,0.8836692966294842,0.12357252859150544,0.7786684578468718,0.21329563102741608,0.8909513436145867,0.11654485049833888,0.7546358043281848,0.2019074149749918,0.9047409646970744,0.4292829755009394,11162455,1676031,1676031,502809,502809,1173222,1173222,0.8606545329093933,post_sampling_replay_class_weights_hard_example_mining_v1,0.02025266473245458,0.08799359916373861,0.01950359486331636,0.5103356569614573,24.688109273776593,0.5482417662217355,5.68223148901546,balanced
2020,0.8638321778747581,0.10332518325593981,0.8217610606715665,0.1835690731406852,0.8685670112902427,0.09267132867132867,0.7699637445384401,0.16543163024807253,0.9025826395004476,0.4597969405019432,16749226,1676217,1676217,502865,502865,1173352,1173352,0.8386921286582947,post_sampling_replay_class_weights_hard_example_mining_v1,0.018628547988041647,0.11812551716156082,0.019753450099724013,0.5094910790149083,26.84052457126387,0.566974109955737,4.232785701298964,balanced
2021,0.8804350569327466,0.09496434268816667,0.8035911667176219,0.16985596579964457,0.8746892789541686,0.09088883546664009,0.7827601878503258,0.162866689081281,0.90497388947511,0.42402260667664293,22336618,1676056,1676056,502816,502816,1173240,1173240,0.8534542173147202,post_sampling_replay_class_weights_hard_example_mining_v1,0.01522180189033007,0.15903645224264584,0.019472061526950947,0.5077285433001812,32.847622351308765,0.5945560914422257,3.1439333118242456,balanced
2022,0.8003140155362585,0.11851417188352549,0.8567069257249548,0.20822337026579746,0.7974476056667837,0.10509995570226205,0.8019407948536227,0.18584378257161807,0.8818776008957925,0.3314225216110231,27923473,1677624,1677624,503287,503287,1174337,1174337,0.856099271774292,post_sampling_replay_class_weights_hard_example_mining_v1,0.030648703165906066,0.17211246381787576,0.01862168076299105,0.515808873040148,16.313903961724723,0.603946765892616,2.9050772321119345,balanced
