year,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,replay_pool_size,replay_target_size,replay_used_size,hard_target_size,hard_used_size,random_target_size,random_used_size,hard_threshold_mean,weight_policy,year_positive_rate,replay_actual_positive_rate,replay_pool_positive_rate,current_class_weight_0,current_class_weight_1,replay_class_weight_0,replay_class_weight_1,replay_weight_fallback
2017,0.8111441304113495,0.07343875299596526,0.7943661971830986,0.1344478685705502,0.8156889130212391,0.06751993682729916,0.686673916680609,0.12295029788317588,0.8293018208671464,0.18669435135537543,0,2230210,0,0,0,0,0,,post_sampling_replay_class_weights_hard_example_mining_v1,0.01846462226799368,,,0.509405989171098,27.07881010199126,,,no_replay
2018,0.9052796593089163,0.14741565309720056,0.7549364750169922,0.24666524307779913,0.899188785805167,0.14474824231233577,0.7239725784108265,0.24125992081106515,0.9014967396878156,0.4197040372499158,5575527,2234704,2234704,670411,670411,1564293,1564293,0.9050118327140808,post_sampling_replay_class_weights_hard_example_mining_v1,0.02054105759293129,0.0375705238814626,0.01846462226799368,0.5104859206974264,24.34149253211105,0.5195185854204009,13.308305244226348,balanced
2019,0.8875744379375234,0.12674237053724813,0.7726762530159881,0.2177647146735746,0.8932164894294697,0.1185411158565521,0.7523125242008346,0.20481045721012223,0.9054389120679245,0.43159606833955266,11162289,2234680,2234680,670404,670404,1564276,1564276,0.8876812756061554,post_sampling_replay_class_weights_hard_example_mining_v1,0.020252918493400666,0.07066559865394598,0.019503884911060806,0.5103357891417533,24.687799941668803,0.5380194677780105,7.075578634075294,balanced
2020,0.8568093750128638,0.09904908728279543,0.8259115146274679,0.17688489981357794,0.8583857486862738,0.08749200006243854,0.7815840847820024,0.157367935873619,0.9045903442632708,0.4596259922975794,16748990,2234945,2234945,670483,670483,1564462,1564462,0.8327858448028564,post_sampling_replay_class_weights_hard_example_mining_v1,0.01862864467549361,0.09090156581034432,0.019753728433774216,0.509491129211395,26.840385262045444,0.5499954473529434,5.50045530616263,balanced
2021,0.8915130957066716,0.10253738493130204,0.7903271324757178,0.181523794090639,0.8830603525223364,0.09577063719556177,0.7710447911932535,0.17037871856100337,0.903497482115087,0.41755905604482113,22336353,2234732,2234732,670419,670419,1564313,1564313,0.8673329204320908,post_sampling_replay_class_weights_hard_example_mining_v1,0.01522186728039563,0.1207907704369025,0.01947229254480353,0.5077285770137677,32.847481244561514,0.5686928471490947,4.139389112193676,balanced
2022,0.8231971582849855,0.12976814304247933,0.8357313728922341,0.2246532630056761,0.8180921660072529,0.11370567636059345,0.781524287194025,0.1985271970003843,0.882277485928828,0.3145990151728322,27923184,2236846,2236846,671053,671053,1565793,1565793,0.8621062397956848,post_sampling_replay_class_weights_hard_example_mining_v1,0.030648505860751102,0.1276833541513363,0.01862187349408291,0.5158087680506265,16.314008985355038,0.5731863565592716,3.9159372286490575,balanced
