year,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,replay_pool_size,replay_target_size,replay_used_size,hard_target_size,hard_used_size,confident_target_size,confident_used_size,uncertain_target_size,uncertain_used_size,positive_rate_target_size,positive_rate_used_size,positive_rate_target_percent,positive_rate_achieved_percent,random_target_size,random_used_size,uncertain_threshold_mean,wmean_hard,wmean_confident,wmean_uncertain,wmean_positive_rate,wmean_random,artifact_suffix
2017,0.836777357537635,0.08130918884821925,0.7612530354541039,0.14692533093866408,0.8448259988590089,0.07496504868656644,0.6392002676928225,0.13419212075710277,0.8318876252598209,0.18128770841345776,0,2787824,0,0,0,557564,0,1115129,0,557564,0,10.0,,0,0,,,,,,,"_combined_HE=0_CC=0.1_UP=0.2_PR=(0.1,10)_RR=0.5"
2018,0.9034138820259945,0.14712282800093027,0.7717544746335767,0.24713354112660416,0.8971224481130072,0.14333155017055837,0.7328171065250595,0.23976710131789972,0.9037837310448347,0.4381488158774788,5575648,2793403,2793403,0,0,558680,558680,1117361,1099234,558680,558680,10.0,3.8666141619531755,576809,576809,0.8718063831329346,,0.9999999999999996,1.0,1.0000000000000044,1.0000000000000004,"_combined_HE=0_CC=0.1_UP=0.2_PR=(0.1,10)_RR=0.5"
2019,0.8976131293013442,0.13704338251695483,0.7656234809583993,0.2324747607572041,0.9022853637629072,0.12715017644366353,0.7409972895065181,0.21705514281933497,0.9066360215764167,0.43957147973421884,11162455,2793385,2793385,0,0,558677,558677,1117354,1109290,558677,558677,10.0,10.000053698290785,566741,566741,0.8402841687202454,,1.0,1.0,1.0000000000000004,1.0000000000000002,"_combined_HE=0_CC=0.1_UP=0.2_PR=(0.1,10)_RR=0.5"
2020,0.8898579158219077,0.11884308609765189,0.7658548301868665,0.20575735479166532,0.8915414794723933,0.10706111895004759,0.7371014223296458,0.18696613316827307,0.9019465632235182,0.46309651349205583,16749226,2793696,2793696,0,0,558739,558739,1117478,1109329,558739,558739,10.0,10.000017897444065,566889,566889,0.7529569665590922,,1.0,0.9999999999999996,0.9999999999999998,1.0000000000000002,"_combined_HE=0_CC=0.1_UP=0.2_PR=(0.1,10)_RR=0.5"
2021,0.9339016315977415,0.15289175459163737,0.7361068648432539,0.2531942517624504,0.9269085015480022,0.13810301321062787,0.7047417058021512,0.23094871667576825,0.9034582899854589,0.42904148572957823,22336618,2793427,2793427,0,0,558685,558685,1117371,1111497,558685,558685,10.0,9.999910504130234,564560,564560,0.7776790857315063,,1.0000000000000009,1.0,1.0000000000000007,0.9999999999999998,"_combined_HE=0_CC=0.1_UP=0.2_PR=(0.1,10)_RR=0.5"
2022,0.8021407061415431,0.11899214477283895,0.8519341851916681,0.208818059151745,0.8029771909518163,0.10491751233900232,0.7747096985225972,0.18480695765260505,0.874057138105931,0.32176306540397454,27923473,2796040,2796040,0,0,559208,559208,1118416,1113615,559208,559208,10.0,10.000035764867455,564009,564009,0.7885700225830078,,1.0,1.0,0.9999999999999996,1.0000000000000002,"_combined_HE=0_CC=0.1_UP=0.2_PR=(0.1,10)_RR=0.5"
