year,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,replay_pool_size,replay_target_size,replay_used_size,confidently_correct_target_size,confidently_correct_used_size,random_target_size,random_used_size,threshold_mean,weight_policy,year_positive_rate,replay_actual_positive_rate,replay_pool_positive_rate,current_class_weight_0,current_class_weight_1,replay_class_weight_0,replay_class_weight_1,replay_weight_fallback
2017,0.8361854980802231,0.08137370164284666,0.7650898494414764,0.14710188775090952,0.8437613361399091,0.07536884488577236,0.6482767274552451,0.13503811805706817,0.8321375894542941,0.18060949279407096,0,1115129,0,0,0,0,0,,post_sampling_replay_class_weights_v1,0.018464221557745394,,,0.5094057812070024,27.079397765905778,,,no_replay
2018,0.8924328332802619,0.13467361755012916,0.7809128775335924,0.22972895029281368,0.8829037529114434,0.1295440740672569,0.7499733598550776,0.2209270691639636,0.9025065475586986,0.43091442225085563,5575648,1117361,1117361,223472,223472,893889,893889,0.8788370490074158,post_sampling_replay_class_weights_v1,0.0205408921410745,0.01653360015250219,0.018464221557745394,0.510485834465298,24.34168859687342,0.5084057778461297,30.241447439644908,balanced
2019,0.9010004168776562,0.1403260064455683,0.7584911663588075,0.23683578712072081,0.9076165684940664,0.13309035970998917,0.7352751366002668,0.2253844327803128,0.9070339938645697,0.4304866930789386,11162455,1117354,1117354,223470,223470,893884,893884,0.9184182286262512,post_sampling_replay_class_weights_v1,0.02025266473245458,0.017596034918208554,0.01950359486331636,0.5103356569614573,24.688109273776593,0.508955600518542,28.415492599562587,balanced
2020,0.8702638010721281,0.10553645090698366,0.7978671278282173,0.18641516803426345,0.8779069996044444,0.09725425954143303,0.7505810170121782,0.1721966590777007,0.9022658767117884,0.4561963327369748,16749226,1117478,1117478,223495,223495,893983,893983,0.9097326795260111,post_sampling_replay_class_weights_v1,0.018628547988041647,0.017696992692473587,0.019753450099724013,0.5094910790149083,26.84052457126387,0.5090079092504158,28.253387944983817,balanced
2021,0.8763961119449135,0.09225622509322993,0.8055078667011595,0.165551542424063,0.8685444532607132,0.08744827740667536,0.7886683835782458,0.15743951612903226,0.9005280786649801,0.42308782952149104,22336618,1117371,1117371,223474,223474,893897,893897,0.9285576641559601,post_sampling_replay_class_weights_v1,0.01522180189033007,0.01750090167008093,0.019472061526950947,0.5077285433001812,32.847622351308765,0.5089063194560837,28.569956532856047,balanced
2022,0.8662944736126807,0.16011191556319904,0.7919948655114067,0.2663730950222337,0.866047623425577,0.1418336804793292,0.7220465572698032,0.23709425501349313,0.8854319014518452,0.35374533522725793,27923473,1118416,1118416,223683,223683,894733,894733,0.9190945386886596,post_sampling_replay_class_weights_v1,0.030648703165906066,0.01671024019684983,0.01862168076299105,0.515808873040148,16.313903961724723,0.5084971088279182,29.921772165444914,balanced
