year,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,replay_pool_size,replay_target_size,replay_used_size,hard_target_size,hard_used_size,confident_target_size,confident_used_size,uncertain_target_size,uncertain_used_size,positive_rate_target_size,positive_rate_used_size,positive_rate_target_percent,positive_rate_achieved_percent,misclass_target_size,misclass_used_size,random_target_size,random_used_size,uncertain_threshold_mean,wmean_hard,wmean_confident,wmean_uncertain,wmean_positive_rate,wmean_misclass,wmean_random,artifact_suffix
2017,0.8111441304113495,0.07343875299596526,0.7943661971830986,0.1344478685705502,0.8156889130212391,0.06751993682729916,0.686673916680609,0.12295029788317588,0.8293018208671464,0.18669435135537543,0,2787763,0,557552,0,557552,0,557552,0,1115105,0,10.0,,0,0,0,0,,,,,,,,"_combined_HE=0.1_CC=0.1_UP=0.1_PR=(0.2,10)_MC=0_RWS=1_RR=0.5"
2018,0.9016063329706904,0.14512096813673495,0.7749437947681207,0.2444623428316959,0.8955133155195435,0.14247183339023559,0.7411288317408447,0.23899932990842082,0.9075947587899623,0.4402906451700095,5575527,2793381,2793381,558676,558676,558676,517385,558676,388689,1117352,1117352,10.0,0.0,0,0,211279,211279,0.9050118327140808,1.0,1.0000000000000002,0.9999999999999999,0.9999999999999998,,0.9999999999999999,"_combined_HE=0.1_CC=0.1_UP=0.1_PR=(0.2,10)_MC=0_RWS=1_RR=0.5"
2019,0.8880928118401181,0.12773629761030614,0.776423590550346,0.21938039086418643,0.8962875347802768,0.12038467183383071,0.7410833369186421,0.2071233601481428,0.9032066286207114,0.42383847385615114,11162289,2793350,2793350,558670,558670,558670,543535,558670,399133,1117340,1117340,10.0,0.8239210983228024,0,0,174672,174672,0.8007553815841675,0.999999999999999,1.0,0.9999999999999999,0.9999999999999908,,1.0000000000000002,"_combined_HE=0.1_CC=0.1_UP=0.1_PR=(0.2,10)_MC=0_RWS=1_RR=0.5"
2020,0.8763703020548333,0.10965355263245441,0.7916894845558918,0.19262713746391294,0.8812141487636582,0.09856509746800136,0.7391466022125128,0.17393587058173685,0.898950879622443,0.45444925163645056,16748990,2793681,2793681,558736,558736,558736,552316,558736,374926,1117472,1117472,10.0,3.9045273617593996,0,0,190231,190231,0.7372914552688599,1.0,1.0000000000000002,1.0,1.0,,0.9999999999999999,"_combined_HE=0.1_CC=0.1_UP=0.1_PR=(0.2,10)_MC=0_RWS=1_RR=0.5"
2021,0.9306094993745112,0.145573874935294,0.7308153618212178,0.2427862406806609,0.9225246720809325,0.13058374085998292,0.7025198202292582,0.22023112236821277,0.9002359931884809,0.41534274664097576,22336353,2793415,2793415,558683,558683,558683,555735,558683,381961,1117366,1117366,10.0,7.299398764594592,0,0,179670,179670,0.7479725927114487,1.0,1.0,0.9999999999999999,1.0000000000000018,,0.9999999999999999,"_combined_HE=0.1_CC=0.1_UP=0.1_PR=(0.2,10)_MC=0_RWS=1_RR=0.5"
2022,0.8653574067490731,0.16037282968621336,0.8011202520567128,0.26724668992598866,0.8666779297419839,0.14102612554731914,0.7120154827454614,0.23542294745095918,0.8827464344847715,0.3369374424348559,27923184,2796058,2796058,559211,559211,559211,558049,559211,386224,1118423,1118423,10.0,9.999973176517294,0,0,174151,174151,0.7245379686355591,1.0,1.0,1.0000000000000002,0.9999999999999971,,1.0,"_combined_HE=0.1_CC=0.1_UP=0.1_PR=(0.2,10)_MC=0_RWS=1_RR=0.5"
