year,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,replay_pool_size,replay_target_size,replay_used_size,confidently_correct_target_size,confidently_correct_used_size,random_target_size,random_used_size,threshold_mean,weight_policy,year_positive_rate,replay_actual_positive_rate,replay_pool_positive_rate,current_class_weight_0,current_class_weight_1,replay_class_weight_0,replay_class_weight_1,replay_weight_fallback
2017,0.8111441304113495,0.07343875299596526,0.7943661971830986,0.1344478685705502,0.8156889130212391,0.06751993682729916,0.686673916680609,0.12295029788317588,0.8293018208671464,0.18669435135537543,0,1672658,0,0,0,0,0,,post_sampling_replay_class_weights_v1,0.01846462226799368,,,0.509405989171098,27.07881010199126,,,no_replay
2018,0.8921496924336494,0.13473197383240276,0.7839104899004863,0.22994322988955262,0.8863545216777255,0.1316823974020548,0.738891059567364,0.22352840042122457,0.9017884905724914,0.4253913061166711,5575527,1676028,1676028,335205,335205,1340823,1340823,0.9050118327140808,post_sampling_replay_class_weights_v1,0.02054105759293129,0.01663158372055837,0.01846462226799368,0.5104859206974264,24.34149253211105,0.5084564357799306,30.063282511210762,balanced
2019,0.8710464368864559,0.11471532439188417,0.7990136724791643,0.20062647228198577,0.8752620808868519,0.10521219756888547,0.7760616099470808,0.18530256257479955,0.9056254911192858,0.4272980397331793,11162289,1676010,1676010,335202,335202,1340808,1340808,0.8903540372848511,post_sampling_replay_class_weights_v1,0.020252918493400666,0.017664572407085875,0.019503884911060806,0.5103357891417533,24.687799941668803,0.5089911103228613,28.30524218063906,balanced
2020,0.8792308643630278,0.11233894326129366,0.7944468463275208,0.19684322409633392,0.8801587638627402,0.09995537160778369,0.7599702519289765,0.17667367238109646,0.9039306336778218,0.46221575703342827,16748990,1676208,1676208,335241,335241,1340967,1340967,0.9293532768885294,post_sampling_replay_class_weights_v1,0.01862864467549361,0.017861745081755965,0.019753728433774216,0.509491129211395,26.840385262045444,0.5090932946519036,27.992785571142285,balanced
2021,0.9129320360683901,0.12352888211923511,0.7743585522447731,0.21306823696897143,0.9066648631347325,0.11485128460807378,0.7444831591173054,0.19900249039947626,0.9055994696857816,0.4272400277999803,22336353,1676049,1676049,335209,335209,1340840,1340840,0.9106687009334564,post_sampling_replay_class_weights_v1,0.01522186728039563,0.0174971018150424,0.01947229254480353,0.5077285770137677,32.847481244561514,0.5089043512479027,28.57616108572598,balanced
2022,0.8457709031786894,0.14482233330352434,0.8220549623665324,0.24626065434943906,0.8443974713086253,0.1276936497020774,0.754156899089571,0.21840672895130508,0.8880331093587799,0.3549023819482189,27923184,1677634,1677634,335526,335526,1342108,1342108,0.9019448518753052,post_sampling_replay_class_weights_v1,0.030648505860751102,0.016855285479431152,0.01862187349408291,0.5158087680506265,16.314008985355038,0.5085721284112535,29.66428546168264,balanced
