year,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,replay_pool_size,replay_target_size,replay_used_size,uncertain_target_size,uncertain_used_size,random_target_size,random_used_size,uncertain_threshold_mean,ratio_key,replay_ratio
2017,0.8347166106450565,0.08061700008607016,0.7642350655658087,0.14584881981429199,0.8430479158305594,0.0768155212481799,0.6663878199765769,0.1377521464329872,0.8353837957156651,0.18884731339992686,0,1115105,0,0,0,0,0,,RR_0.2,0.2
2018,0.8561782298941677,0.10851653036307457,0.8318112898447168,0.1919868223633665,0.8491036224692806,0.10757254747821418,0.79714417646432,0.1895639320029564,0.9045452125602557,0.43215151583653266,5575527,1117352,1117352,446940,446940,670412,670412,0.8889443874359131,RR_0.2,0.2
2019,0.872689624878797,0.11361281303216438,0.7771483114885945,0.19824395874689582,0.8817321167642114,0.10886191217459253,0.761218431355677,0.19048285514345698,0.901663109691772,0.4216758301693793,11162289,1117340,1117340,446936,446936,670404,670404,0.9337498545646667,RR_0.2,0.2
2020,0.8930695929367753,0.12402725069727036,0.7818417639429313,0.21409206606025927,0.8960398686981647,0.11109861767992298,0.7348238356419076,0.19301512108466465,0.9034226597896752,0.45842625643629836,16748990,1117472,1117472,446988,446988,670484,670484,0.909787674744924,RR_0.2,0.2
2021,0.9184038321545792,0.13157424113565372,0.7786152724536112,0.22510853416829,0.9097830335354705,0.11838920561912497,0.7434732111296268,0.20425348908187896,0.9035911557397552,0.4419933788349467,22336353,1117366,1117366,446946,446946,670420,670420,0.9008618742227554,RR_0.2,0.2
2022,0.7985980619858386,0.1190191010527643,0.8702491393896961,0.2093997684910573,0.79748152397267,0.10630726264943503,0.8134710788856785,0.18804070445165558,0.885613546755895,0.35005586116997683,27923184,1118423,1118423,447369,447369,671054,671054,0.9022171258926391,RR_0.2,0.2
2017,0.8347166106450565,0.08061700008607016,0.7642350655658087,0.14584881981429199,0.8430479158305594,0.0768155212481799,0.6663878199765769,0.1377521464329872,0.8353837957156651,0.18884731339992686,0,1672658,0,0,0,0,0,,RR_0.3,0.3
2018,0.872879854198192,0.11894400557026054,0.8097910385332613,0.207421460855979,0.8640343358439349,0.11544735318027491,0.7717827584982062,0.2008504344610834,0.9012563710013239,0.4220124436104694,5575527,1676028,1676028,670411,670411,1005617,1005617,0.8889443874359131,RR_0.3,0.3
2019,0.8706037785089984,0.11440232616671958,0.7994290613096238,0.2001606543011538,0.8790181148421538,0.10754898425291501,0.7698661962741471,0.1887323795109243,0.9061638377734865,0.43315058706666065,11162289,1676010,1676010,670404,670404,1005606,1005606,0.9144269824028015,RR_0.3,0.3
2020,0.8604996668374688,0.10065540967243708,0.8177162895710237,0.17924674331841928,0.859718742283186,0.08792438555381592,0.7778655759040625,0.1579906347947585,0.9020992122432971,0.46583532393949423,16748990,1676208,1676208,670483,670483,1005725,1005725,0.8838395476341248,RR_0.3,0.3
2021,0.9186696357917395,0.13079074640174498,0.7692434326568048,0.2235691156241723,0.9105773215820645,0.11930919852434427,0.7430692319345553,0.20560577903841049,0.9039793416288666,0.4424940342422493,22336353,1676049,1676049,670419,670419,1005630,1005630,0.922440230846405,RR_0.3,0.3
2022,0.7993491193673379,0.11937605848650942,0.8698348795145574,0.20993997429984684,0.7957134830798487,0.10522761186113448,0.8111813770920787,0.1862894845567338,0.886708322485527,0.3531002479695202,27923184,1677634,1677634,671053,671053,1006581,1006581,0.9195261836051941,RR_0.3,0.3
2017,0.8347166106450565,0.08061700008607016,0.7642350655658087,0.14584881981429199,0.8430479158305594,0.0768155212481799,0.6663878199765769,0.1377521464329872,0.8353837957156651,0.18884731339992686,0,2230210,0,0,0,0,0,,RR_0.4,0.4
2018,0.8751845881388898,0.1208097813210303,0.8086669338956761,0.21021478826977877,0.8658296072735623,0.11731366376207411,0.77565445956026,0.20380316852936373,0.9046769256680256,0.4243930158039574,5575527,2234704,2234704,893881,893881,1340823,1340823,0.8889443874359131,RR_0.4,0.4
2019,0.8949845355962311,0.13358785123237937,0.7629278725905239,0.22736443418987115,0.8984651851199399,0.12263666695183506,0.7400937916792153,0.21040786246796853,0.9032987916145421,0.42814407531973425,11162289,2234680,2234680,893872,893872,1340808,1340808,0.9061950147151947,RR_0.4,0.4
2020,0.8875782726126797,0.11928700948484285,0.7887784022673776,0.2072340065704034,0.8877981147774333,0.10556883069530625,0.7536487868364786,0.1851959726100936,0.904746988338666,0.4632789185989003,16748990,2234945,2234945,893978,893978,1340967,1340967,0.8935148318608602,RR_0.4,0.4
2021,0.9139447747748232,0.12450232092092928,0.7714541050304555,0.21440289678882593,0.9056747555598197,0.11461580498918574,0.7519567742261274,0.19891266597205526,0.9055526445117117,0.4366305849594719,22336353,2234732,2234732,893892,893892,1340840,1340840,0.9152159690856934,RR_0.4,0.4
2022,0.7655915935935521,0.10497055607519729,0.8833187467180116,0.18764234272813415,0.7612924771824501,0.09399378583632793,0.8427465518181323,0.169124645799372,0.885701627554052,0.34815331426776697,27923184,2236846,2236846,894738,894738,1342108,1342108,0.9110329985618592,RR_0.4,0.4
2017,0.8347166106450565,0.08061700008607016,0.7642350655658087,0.14584881981429199,0.8430479158305594,0.0768155212481799,0.6663878199765769,0.1377521464329872,0.8353837957156651,0.18884731339992686,0,2787763,0,0,0,0,0,,RR_0.5,0.5
2018,0.8536329272662769,0.10602242717445401,0.824221405043657,0.18787752386060047,0.8436069307070837,0.10390140688221537,0.7953681668028274,0.18379332279974556,0.9009716422988412,0.42789418394912404,5575527,2793381,2793381,1117352,1117352,1676029,1676029,0.8889443874359131,RR_0.5,0.5
2019,0.8911275187270628,0.12881778828059517,0.7592777537186138,0.22026567255255378,0.896970950506231,0.12047445975262727,0.7358774684851354,0.20705141784946887,0.9022139374879081,0.42168333929488655,11162289,2793350,2793350,1117340,1117340,1676010,1676010,0.8961865901947021,RR_0.5,0.5
2020,0.8858962626913627,0.11609420068741975,0.7749339482154008,0.20193601608297856,0.8824236733371397,0.10034908918323122,0.7469089894952124,0.17692752346610147,0.9015821039418777,0.4547841900392799,16748990,2793681,2793681,1117472,1117472,1676209,1676209,0.8966615398724874,RR_0.5,0.5
2021,0.9044467248069612,0.11230036143995467,0.764316455398509,0.19582789777023912,0.8977130009224751,0.10654363014822903,0.7538756754027167,0.18670118306195443,0.8982075044426883,0.43298595580733623,22336353,2793415,2793415,1117366,1117366,1676049,1676049,0.9028820544481277,RR_0.5,0.5
2022,0.7864132289101299,0.1133227095970439,0.8746484625707451,0.2006486353360362,0.7867066898738405,0.10173522984839642,0.817287248541678,0.18094640346165683,0.8842865685443501,0.34089427765082697,27923184,2796058,2796058,1118423,1118423,1677635,1677635,0.9006596565246582,RR_0.5,0.5
