year,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,replay_pool_size,replay_target_size,replay_used_size,hard_target_size,hard_used_size,random_target_size,random_used_size,hard_threshold_mean,weight_policy,year_positive_rate,replay_actual_positive_rate,replay_pool_positive_rate,current_class_weight_0,current_class_weight_1,replay_class_weight_0,replay_class_weight_1,replay_weight_fallback,ratio_key,replay_ratio
2019,0.9048908573485471,0.1442701262644306,0.749502859112482,0.2419649595341253,0.9076071313415699,0.13210390299888353,0.7279611065697199,0.2236261267214718,0.9033267153196508,0.4299586261833108,11162455,2234708,2234708,670412,670412,1564296,1564296,0.8499516248703003,post_sampling_replay_class_weights_hard_example_mining_v1,0.02025266473245458,0.07168184836676648,0.01950359486331636,0.5103356569614573,24.688109273776593,0.5386084491834255,6.975266561789897,balanced,RR_0.4,0.4
2020,0.8767313981191941,0.10948239125701163,0.7873949176154105,0.19223561035908718,0.8782435757599111,0.09712123684671779,0.7469089894952124,0.17189129632501993,0.9026048115983852,0.4552310892791187,16749226,2234956,2234956,670486,670486,1564470,1564470,0.8744201064109802,post_sampling_replay_class_weights_hard_example_mining_v1,0.018628547988041647,0.09823862304224333,0.019753450099724013,0.5094910790149083,26.84052457126387,0.5544704095520634,5.089647885078726,balanced,RR_0.4,0.4
2021,0.8741857449316297,0.09220773735037725,0.821405893558477,0.16580308421175058,0.868947083252401,0.08693426345250485,0.780336312679897,0.15644013403658671,0.9016430584648498,0.4198210763616449,22336618,2234742,2234742,670422,670422,1564320,1564320,0.8717886358499527,post_sampling_replay_class_weights_hard_example_mining_v1,0.01522180189033007,0.13217856915921392,0.019472061526950947,0.5077285433001812,32.847622351308765,0.576155395834805,3.782761480779322,balanced,RR_0.4,0.4
2022,0.8414545213945437,0.14195116139128658,0.8272069548981854,0.2423195678499063,0.8392899940201586,0.12353133818139403,0.7505860546257428,0.212147477012092,0.8818984784241659,0.34197306476329004,27923473,2236832,2236832,671049,671049,1565783,1565783,0.8767254233360291,post_sampling_replay_class_weights_hard_example_mining_v1,0.030648703165906066,0.12902175934535987,0.01862168076299105,0.515808873040148,16.313903961724723,0.574067154219826,3.8753153153153153,balanced,RR_0.4,0.4
2017,0.7996541388552505,0.0705807129125416,0.8095288975230694,0.12984093352236434,0.8100226230991678,0.06793262354997616,0.7152417600803078,0.1240802821193783,0.8397286273322614,0.18314266232281423,0,2787824,0,0,0,0,0,,post_sampling_replay_class_weights_hard_example_mining_v1,0.018464221557745394,,,0.5094057812070024,27.079397765905778,,,no_replay,RR_0.5,0.5
2018,0.8885325732569606,0.1315764662196171,0.7904459819794698,0.2255999064870854,0.883621686144439,0.13063390699738645,0.7527794551202358,0.22263308558972608,0.9049577623163264,0.4335825741776748,5575648,2793403,2793403,838020,838020,1955383,1955383,0.8611301183700562,post_sampling_replay_class_weights_hard_example_mining_v1,0.0205408921410745,0.03138358482467442,0.018464221557745394,0.510485834465298,24.34168859687342,0.5162002131767475,15.931895696214083,balanced,RR_0.5,0.5
2019,0.86136535755627,0.10623230979720195,0.7884787046938938,0.18723791854329933,0.868740218784652,0.1001208018571198,0.7737813535257927,0.17730041996096138,0.8988836460206961,0.4286472340811183,11162455,2793385,2793385,838015,838015,1955370,1955370,0.8904370963573456,post_sampling_replay_class_weights_hard_example_mining_v1,0.02025266473245458,0.05766552050648228,0.01950359486331636,0.5103356569614573,24.688109273776593,0.5305971614969858,8.670692566518916,balanced,RR_0.5,0.5
2020,0.8844974542684673,0.11774883581659504,0.8009511456982275,0.20531417622633888,0.8840636695136711,0.1028149998738234,0.7575067397973413,0.18105564875404118,0.9053216015719004,0.4678765799838602,16749226,2793696,2793696,838108,838108,1955588,1955588,0.8713914155960083,post_sampling_replay_class_weights_hard_example_mining_v1,0.018628547988041647,0.08337879282498883,0.019753450099724013,0.5094910790149083,26.84052457126387,0.5454815970721204,5.996728701139803,balanced,RR_0.5,0.5
2021,0.8881766217308307,0.10140457695040332,0.8072599421462336,0.18017618428356405,0.882437547134053,0.09579255750171414,0.7760440337322628,0.17053480772111657,0.9070979685370401,0.43065140704239535,22336618,2793427,2793427,838028,838028,1955399,1955399,0.8742523342370987,post_sampling_replay_class_weights_hard_example_mining_v1,0.01522180189033007,0.09708862984427372,0.019472061526950947,0.5077285433001812,32.847622351308765,0.5537642082342638,5.149933630765827,balanced,RR_0.5,0.5
2022,0.8326311497689589,0.1357342963866443,0.8311161678044227,0.2333576337409795,0.8296798152456882,0.11779539057823664,0.7563648258191136,0.20384430315118257,0.8818858454848655,0.33003000908175034,27923473,2796040,2796040,838812,838812,1957228,1957228,0.8554962635040283,post_sampling_replay_class_weights_hard_example_mining_v1,0.030648703165906066,0.11053883349308308,0.01862168076299105,0.515808873040148,16.313903961724723,0.5621380885728773,4.523297235910196,balanced,RR_0.5,0.5
