Replay Ratio,Year,Val PR-AUC (Old),Val PR-AUC (New),PR-AUC Diff,Val F1 (Old),Val F1 (New),F1 Diff
0.2,2017,0.1812502561118033,0.1812877084134577,3.745230165441704e-05,0.1414461512187254,0.1341921207571027,-0.007254030461622679
0.2,2018,0.4429988623591696,0.4339173865221873,-0.009081475836982267,0.2054218088089078,0.1883475490217015,-0.01707425978720631
0.2,2019,0.429508632903521,0.4217907122258015,-0.007717920677719481,0.2026818066422026,0.1759189119183645,-0.026762894723838082
0.2,2020,0.4617235642306009,0.464385191945151,0.0026616277145500855,0.1866182781762147,0.1812353621716188,-0.005382916004595895
0.2,2021,0.4264656580443267,0.4426230492809546,0.016157391236627905,0.1986941850636601,0.2093613985016054,0.0106672134379453
0.2,2022,0.3541744149636969,0.3513892475646173,-0.00278516739907958,0.2089433493691027,0.2001464452004162,-0.008796904168686503
0.3,2017,0.1744806716485037,0.1744806716485037,0.0,0.1268640474314233,0.1268640474314233,0.0
0.3,2018,0.4442919421949101,0.4473301554030791,0.003038213208168994,0.2144848460711299,0.2121399540554868,-0.0023448920156430852
0.3,2019,0.4209716186608993,0.4216892755818634,0.0007176569209640937,0.2041770204709501,0.1965047674971339,-0.007672252973816213
0.3,2020,0.4580084845412459,0.4634817276627928,0.0054732431215469,0.1997199828665315,0.2025314820794317,0.0028114992129001926
0.3,2021,0.4349333868205161,0.4343955014849026,-0.0005378853356134972,0.2078278523276295,0.2383776031401229,0.03054975081249342
0.3,2022,0.3527062957334831,0.3459461553375792,-0.006760140395903891,0.1979346304449268,0.1889986257091693,-0.00893600473575748
0.4,2017,0.1855163710437007,0.1812877084134577,-0.004228662630242991,0.1333179668495552,0.1341921207571027,0.0008741539075475258
0.4,2018,0.4390270790663808,0.4386820720211437,-0.00034500704523710013,0.2301898495824195,0.2161720087034223,-0.014017840878997212
0.4,2019,0.4148413302455489,0.4264238694360578,0.01158253919050889,0.2114598386877632,0.2083662666762472,-0.0030935720115159993
0.4,2020,0.4649462879998086,0.4647140243963779,-0.00023226360343070462,0.2101121703102368,0.1851567409062347,-0.024955429404002083
0.4,2021,0.4341285168693228,0.4361437491802609,0.0020152323109380865,0.2217147761319836,0.1620427358520342,-0.059672040279949407
0.4,2022,0.353261716748971,0.3504164188788583,-0.002845297870112673,0.207466177210693,0.2024043153277783,-0.005061861882914687
0.5,2017,0.1923610792662814,0.1923610792662814,0.0,0.1309483148923326,0.1309483148923326,0.0
0.5,2018,0.4301258182608062,0.4308704553531362,0.0007446370923299694,0.2271921332303575,0.228507344292787,0.0013152110624294888
0.5,2019,0.4334214827270049,0.4318125855157572,-0.0016088972112477395,0.2116851880042624,0.2109309832082109,-0.000754204796051483
0.5,2020,0.4606692411015954,0.466873484532032,0.0062042434304365734,0.1808417508417508,0.1798461972860298,-0.0009955535557210071
0.5,2021,0.4379290562540376,0.4399768070410088,0.0020477507869711697,0.2384616041465643,0.1986805748357329,-0.03978102931083141
0.5,2022,0.346348543158117,0.3488122725343753,0.002463729376258328,0.1820955321534248,0.1990934170107809,0.016997884857356094
