year,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,replay_pool_size,replay_target_size,replay_used_size,misclass_pool_size,misclass_target_size,misclass_used_size,random_used_size,ratio_key,replay_ratio
2017,0.836777357537635,0.08130918884821925,0.7612530354541039,0.14692533093866408,0.8448259988590089,0.07496504868656644,0.6392002676928225,0.13419212075710277,0.8318876252598209,0.18128770841345776,0,1672694,0,0,0,0,0,RR_0.3,0.3
2018,0.8931872892691657,0.13618357487922705,0.7860715592812701,0.23214841769627284,0.8891143078667554,0.13535588510872024,0.7440414875856924,0.22904410960701554,0.9032277062137675,0.43634905400431623,5575648,1676042,1676042,910072,838021,838021,838021,RR_0.3,0.3
2019,0.8791668747475062,0.11985582231073973,0.7829107267536921,0.20788632243453978,0.8865528441218337,0.11347331974779448,0.7642300907800198,0.19760598947614333,0.9058553344554946,0.4302902699645739,11162455,1676031,1676031,2940415,838015,838015,838016,RR_0.3,0.3
2020,0.8667090120041694,0.10441997683315674,0.812384109141567,0.18505399605849016,0.8696113410436535,0.09263943626980452,0.7626196895045086,0.16520994864565502,0.9014456062066087,0.456488201384183,16749226,1676217,1676217,3701004,838108,838108,838109,RR_0.3,0.3
2021,0.9175333886417314,0.1297023125432456,0.7736765362997108,0.22216069381532585,0.9081382373456618,0.11500119057068021,0.7316568196737868,0.19876125739918926,0.8999982825327154,0.41704529627000964,22336618,1676056,1676056,3912397,838028,838028,838028,RR_0.3,0.3
2022,0.8100089769817314,0.12520179387286923,0.8683645486901219,0.218849601831626,0.8096697414524021,0.11078286558345643,0.7973068745570517,0.19453570810997753,0.8864139559301172,0.36164633518855205,27923473,1677624,1677624,5776841,838812,838812,838812,RR_0.3,0.3
