year,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,replay_pool_size,replay_target_size,replay_used_size,replay_target_positive_rate,replay_actual_positive_rate,weight_policy,current_origin_weight,year_positive_rate,target_positive_rate,replay_multiplier_unclipped,replay_multiplier,replay_pool_positive_rate,current_class_weight_0,current_class_weight_1,replay_class_weight_0,replay_class_weight_1,replay_weight_fallback,ratio_key,replay_ratio
2021,0.8700589150783401,0.09115821919206353,0.8401966087345076,0.1644718518160453,0.8606499171541608,0.08337303730055373,0.7952835428975408,0.15092404923790495,0.9035540753071889,0.4378896262155588,22336618,1676056,1676056,0.15,0.1499997613444897,post_sampling_replay_class_weights_v1,,0.01522180189033007,0.15,,,0.019472061526950947,0.5077285433001812,32.847622351308765,0.5882351289581708,3.3333386367975564,balanced,RR_0.3,0.3
2022,0.8548309394715383,0.15174489994572848,0.8140614971701966,0.255806299909886,0.8531402811075515,0.1322462969763741,0.7361936433516872,0.22421558168784322,0.8820967507028403,0.34549653152391047,27923473,1677624,1677624,0.15,0.1500002384324497,post_sampling_replay_class_weights_v1,,0.030648703165906066,0.15,,,0.01862168076299105,0.515808873040148,16.313903961724723,0.5882354591228488,3.3333280348428733,balanced,RR_0.3,0.3
2017,0.8228674048289992,0.07624917733772597,0.7731325886352598,0.13880854574007884,0.8333043495367183,0.07405476707448086,0.6833277563995316,0.13362779379588163,0.8359704092259145,0.18205789441653167,0,2230259,0,0.15,,post_sampling_replay_class_weights_v1,,0.018464221557745394,0.15,,,,0.5094057812070024,27.079397765905778,,,no_replay,RR_0.4,0.4
2018,0.8964229478483864,0.1393875510905272,0.7812701511005768,0.2365685592872626,0.8917745139206703,0.13800309495152566,0.7412353923205343,0.23268494204619578,0.9056602216649245,0.4381411034578635,5575648,2234722,2234722,0.15,0.04606837002544388,post_sampling_replay_class_weights_v1,,0.0205408921410745,0.15,,,0.018464221557745394,0.510485834465298,24.34168859687342,0.5241465785271595,10.85343370568237,balanced,RR_0.4,0.4
2019,0.8992899476280664,0.1396430558472814,0.7697331789618814,0.2363991694149261,0.9061215662527426,0.13100155076847486,0.7341565202426537,0.22233079914788828,0.9031297599622448,0.43244897402194704,11162455,2234708,2234708,0.15,0.09742122908227831,post_sampling_replay_class_weights_v1,,0.02025266473245458,0.15,,,0.01950359486331636,0.5103356569614573,24.688109273776593,0.5539682697074864,5.132351590203392,balanced,RR_0.4,0.4
2020,0.8772402222718578,0.11122708077190356,0.7996253062400922,0.19528957664850152,0.8782821090113547,0.0985528551288694,0.7603421028167705,0.17448905576652302,0.9057001809844836,0.4461476085091638,16749226,2234956,2234956,0.15,0.1480364714115177,post_sampling_replay_class_weights_v1,,0.018628547988041647,0.15,,,0.019753450099724013,0.5094910790149083,26.84052457126387,0.5868795825431529,3.3775460549183176,balanced,RR_0.4,0.4
2021,0.8931880279692241,0.10582168723702881,0.807671503492392,0.18712599524597645,0.8855508520893115,0.09819573956782114,0.775842044134727,0.17432743694189465,0.9040858720156261,0.42791846477367423,22336618,2234742,2234742,0.15,0.1499998657563155,post_sampling_replay_class_weights_v1,,0.01522180189033007,0.15,,,0.019472061526950947,0.5077285433001812,32.847622351308765,0.5882352012154579,3.333336316528992,balanced,RR_0.4,0.4
2022,0.8679269609876826,0.16349587003392493,0.8039267168446234,0.2717296449282293,0.8675084020307887,0.1418651116830092,0.7122335495829472,0.23660285781552784,0.8854321909355222,0.35814514133288117,27923473,2236832,2236832,0.15,0.15000008941216864,post_sampling_replay_class_weights_v1,,0.030648703165906066,0.15,,,0.01862168076299105,0.515808873040148,16.313903961724723,0.5882353559945869,3.333331346397437,balanced,RR_0.4,0.4
2017,0.7996541388552505,0.0705807129125416,0.8095288975230694,0.12984093352236434,0.8100226230991678,0.06793262354997616,0.7152417600803078,0.1240802821193783,0.8397286273322614,0.18314266232281423,0,2787824,0,0.15,,post_sampling_replay_class_weights_v1,,0.018464221557745394,0.15,,,,0.5094057812070024,27.079397765905778,,,no_replay,RR_0.5,0.5
2018,0.875105404571878,0.12061201434766539,0.807542829258091,0.20987740995984627,0.8691175476092745,0.11922816408121459,0.7690477036195077,0.20644970583467623,0.9040218157089428,0.4344085739836748,5575648,2793403,2793403,0.15,0.036854689423617,post_sampling_replay_class_weights_v1,,0.0205408921410745,0.15,,,0.018464221557745394,0.510485834465298,24.34168859687342,0.5191324657966521,13.566794560466246,balanced,RR_0.5,0.5
2019,0.880219719047013,0.12102099236641221,0.7846518246175329,0.20969900100029878,0.8853637629072721,0.11180812977220163,0.7591532934646991,0.19490991836869953,0.9053452035872325,0.4285563734016701,11162455,2793385,2793385,0.15,0.07793698326582264,post_sampling_replay_class_weights_v1,,0.02025266473245458,0.15,,,0.01950359486331636,0.5103356569614573,24.688109273776593,0.5422622867696532,6.41543948775424,balanced,RR_0.5,0.5
2020,0.8783690136650516,0.11244206984884625,0.8021040495748667,0.1972349729616076,0.8783898448368196,0.09835818283845509,0.7576926652412382,0.17411412854815883,0.9039846629359704,0.46038915740243846,16749226,2793696,2793696,0.15,0.11842913473763789,post_sampling_replay_class_weights_v1,,0.018628547988041647,0.15,,,0.019753450099724013,0.5094910790149083,26.84052457126387,0.5671693787784108,4.221934079883937,balanced,RR_0.5,0.5
2021,0.893873207734942,0.10538412408333761,0.7974295054208509,0.1861655765944451,0.8839214588416996,0.09640319575583414,0.7707923041963339,0.17137275595324972,0.9050109670864129,0.42885568718152195,22336618,2793427,2793427,0.15,0.14999998210083887,post_sampling_replay_class_weights_v1,,0.01522180189033007,0.15,,,0.019472061526950947,0.5077285433001812,32.847622351308765,0.5882352817306846,3.3333337310925173,balanced,RR_0.5,0.5
2022,0.8513225847985008,0.149871412384303,0.8242079467880273,0.2536245284746548,0.8471588681205303,0.12930714557506118,0.7503134710788857,0.22059713334321743,0.8852356061114671,0.356784865076158,27923473,2796040,2796040,0.15,0.15,post_sampling_replay_class_weights_v1,,0.030648703165906066,0.15,,,0.01862168076299105,0.515808873040148,16.313903961724723,0.5882352941176471,3.3333333333333335,balanced,RR_0.5,0.5
