year,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,replay_pool_size,replay_target_size,replay_used_size,confidently_correct_target_size,confidently_correct_used_size,random_target_size,random_used_size,threshold_mean,weight_policy,year_positive_rate,replay_actual_positive_rate,replay_pool_positive_rate,current_class_weight_0,current_class_weight_1,replay_class_weight_0,replay_class_weight_1,replay_weight_fallback,ratio_key,replay_ratio
2021,0.9129320360683901,0.12352888211923511,0.7743585522447731,0.21306823696897143,0.9066648631347325,0.11485128460807378,0.7444831591173054,0.19900249039947626,0.9055994696857816,0.4272400277999803,22336353,1676049,1676049,335209,335209,1340840,1340840,0.9106687009334564,post_sampling_replay_class_weights_v1,0.01522186728039563,0.0174971018150424,0.01947229254480353,0.5077285770137677,32.847481244561514,0.5089043512479027,28.57616108572598,balanced,RR_0.3,0.3
2022,0.8457709031786894,0.14482233330352434,0.8220549623665324,0.24626065434943906,0.8443974713086253,0.1276936497020774,0.754156899089571,0.21840672895130508,0.8880331093587799,0.3549023819482189,27923184,1677634,1677634,335526,335526,1342108,1342108,0.9019448518753052,post_sampling_replay_class_weights_v1,0.030648505860751102,0.016855285479431152,0.01862187349408291,0.5158087680506265,16.314008985355038,0.5085721284112535,29.66428546168264,balanced,RR_0.3,0.3
2017,0.8111441304113495,0.07343875299596526,0.7943661971830986,0.1344478685705502,0.8156889130212391,0.06751993682729916,0.686673916680609,0.12295029788317588,0.8293018208671464,0.18669435135537543,0,2230210,0,0,0,0,0,,post_sampling_replay_class_weights_v1,0.01846462226799368,,,0.509405989171098,27.07881010199126,,,no_replay,RR_0.4,0.4
2018,0.9097305380111056,0.1532298839933629,0.7499956430052807,0.25446965777219305,0.9023397505964579,0.14891096927025071,0.7234397755123788,0.2469834956283424,0.9039017703416456,0.4287933314587883,5575527,2234704,2234704,446940,446940,1787764,1787764,0.9050118327140808,post_sampling_replay_class_weights_v1,0.02054105759293129,0.017040288109745182,0.01846462226799368,0.5104859206974264,24.34149253211105,0.508667846659237,29.3422268907563,balanced,RR_0.4,0.4
2019,0.8891832585993057,0.12817750367815112,0.7707495558874738,0.2198014910852459,0.8943308738755884,0.11883511130929922,0.7452566364066601,0.20498437943765976,0.9027587676261652,0.4241031845262129,11162289,2234680,2234680,446936,446936,1787744,1787744,0.8945873379707336,post_sampling_replay_class_weights_v1,0.020252918493400666,0.01761639250362468,0.019503884911060806,0.5103357891417533,24.687799941668803,0.5089661474240803,28.38265552366195,balanced,RR_0.4,0.4
2020,0.900640606311063,0.12998011563121387,0.7611663544218668,0.22204316369328303,0.9026867488640063,0.11646944946762612,0.721483685042298,0.20056206996802015,0.9011278100651725,0.45445718528301,16748990,2234945,2234945,446989,446989,1787956,1787956,0.8953556815783182,post_sampling_replay_class_weights_v1,0.01862864467549361,0.017889925702869645,0.019753728433774216,0.509491129211395,26.840385262045444,0.5091079025513882,27.948690693544755,balanced,RR_0.4,0.4
2021,0.8718488173349077,0.08995311462155688,0.8137508525199313,0.16199867738027657,0.8645149062700784,0.08502658951986458,0.7888198757763976,0.15350674619942808,0.9008258802196419,0.4259590526256057,22336353,2234732,2234732,446946,446946,1787786,1787786,0.9001157730817795,post_sampling_replay_class_weights_v1,0.01522186728039563,0.017617325030473453,0.01947229254480353,0.5077285770137677,32.847481244561514,0.5089666305602447,28.381153162306326,balanced,RR_0.4,0.4
2022,0.8341357725769637,0.13795527193263019,0.8405507905945504,0.23701112814809452,0.8275995112349176,0.11830131445904954,0.771793054571226,0.20515607338492306,0.8860623653432445,0.3572933498855562,27923184,2236846,2236846,447369,447369,1789477,1789477,0.9296245217323303,post_sampling_replay_class_weights_v1,0.030648505860751102,0.01683352363104121,0.01862187349408291,0.5158087680506265,16.314008985355038,0.5085608714473315,29.702634514261433,balanced,RR_0.4,0.4
2017,0.8111441304113495,0.07343875299596526,0.7943661971830986,0.1344478685705502,0.8156889130212391,0.06751993682729916,0.686673916680609,0.12295029788317588,0.8293018208671464,0.18669435135537543,0,2787763,0,0,0,0,0,,post_sampling_replay_class_weights_v1,0.01846462226799368,,,0.509405989171098,27.07881010199126,,,no_replay,RR_0.5,0.5
2018,0.8740392019563389,0.1199804878300583,0.810165740079123,0.209008170546243,0.8668542409453995,0.117204575159854,0.7676268958903136,0.20335936764844265,0.9018357656516612,0.4274669812717938,5575527,2793381,2793381,558676,558676,2234705,2234705,0.9050118327140808,post_sampling_replay_class_weights_v1,0.02054105759293129,0.017256865425804787,0.01846462226799368,0.5104859206974264,24.34149253211105,0.5087799470780744,28.973975728658854,balanced,RR_0.5,0.5
2019,0.8711692284945981,0.11472327798215483,0.7981828948182453,0.20061241965740484,0.8784157023610479,0.10573990923715994,0.7578625822828379,0.18558612660735074,0.8997149165307927,0.42174731762891604,11162289,2793350,2793350,558670,558670,2234680,2234680,0.9325396418571472,post_sampling_replay_class_weights_v1,0.020252918493400666,0.01790574041920991,0.019503884911060806,0.5103357891417533,24.687799941668803,0.5091161007431471,27.924005838015074,balanced,RR_0.5,0.5
2020,0.8842661556086476,0.11751436007771503,0.8007686025844262,0.20495166245974947,0.8878964181400375,0.10610143455960842,0.7576926652412382,0.18613759634598914,0.9058346364197424,0.4655708284940249,16748990,2793681,2793681,558736,558736,2234945,2234945,0.8817272981007894,post_sampling_replay_class_weights_v1,0.01862864467549361,0.018080446550626218,0.019753728433774216,0.509491129211395,26.840385262045444,0.5092066842375792,27.65418423709687,balanced,RR_0.5,0.5
2021,0.8939450647424273,0.10543560237919372,0.7972883986735966,0.18624204626454266,0.8882790609156018,0.09911664600916799,0.7632176942887441,0.17544837193104648,0.9023105171989846,0.4300441019683193,22336353,2793415,2793415,558683,558683,2234732,2234732,0.9043235629796982,post_sampling_replay_class_weights_v1,0.01522186728039563,0.01777859716511868,0.01947229254480353,0.5077285770137677,32.847481244561514,0.509050198414434,28.123703763365082,balanced,RR_0.5,0.5
2022,0.8457049174230291,0.14532864162828155,0.826547639885641,0.24719410902491798,0.8418357765039153,0.12638522547225917,0.7588453360955133,0.21668216861186892,0.88665386518213,0.35242704045447787,27923184,2796058,2796058,559211,559211,2236847,2236847,0.9191917419433594,post_sampling_replay_class_weights_v1,0.030648505860751102,0.01699428266509493,0.01862187349408291,0.5158087680506265,16.314008985355038,0.5086440406019048,29.421659616558284,balanced,RR_0.5,0.5
