year,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,replay_pool_size,replay_target_size,replay_used_size,uncertain_target_size,uncertain_used_size,random_target_size,random_used_size,uncertain_threshold_mean
2017,0.8347166106450565,0.08061700008607016,0.7642350655658087,0.14584881981429199,0.8430479158305594,0.0768155212481799,0.6663878199765769,0.1377521464329872,0.8353837957156651,0.18884731339992686,0,1672658,0,0,0,0,0,
2018,0.872879854198192,0.11894400557026054,0.8097910385332613,0.207421460855979,0.8640343358439349,0.11544735318027491,0.7717827584982062,0.2008504344610834,0.9012563710013239,0.4220124436104694,5575527,1676028,1676028,670411,670411,1005617,1005617,0.8889443874359131
2019,0.8706037785089984,0.11440232616671958,0.7994290613096238,0.2001606543011538,0.8790181148421538,0.10754898425291501,0.7698661962741471,0.1887323795109243,0.9061638377734865,0.43315058706666065,11162289,1676010,1676010,670404,670404,1005606,1005606,0.9144269824028015
2020,0.8604996668374688,0.10065540967243708,0.8177162895710237,0.17924674331841928,0.859718742283186,0.08792438555381592,0.7778655759040625,0.1579906347947585,0.9020992122432971,0.46583532393949423,16748990,1676208,1676208,670483,670483,1005725,1005725,0.8838395476341248
2021,0.9186696357917395,0.13079074640174498,0.7692434326568048,0.2235691156241723,0.9105773215820645,0.11930919852434427,0.7430692319345553,0.20560577903841049,0.9039793416288666,0.4424940342422493,22336353,1676049,1676049,670419,670419,1005630,1005630,0.922440230846405
2022,0.7993491193673379,0.11937605848650942,0.8698348795145574,0.20993997429984684,0.7957134830798487,0.10522761186113448,0.8111813770920787,0.1862894845567338,0.886708322485527,0.3531002479695202,27923184,1677634,1677634,671053,671053,1006581,1006581,0.9195261836051941
