year,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,replay_pool_size,replay_target_size,replay_used_size,hard_target_size,hard_used_size,random_target_size,random_used_size,hard_threshold_mean,weight_policy,year_positive_rate,replay_actual_positive_rate,replay_pool_positive_rate,current_class_weight_0,current_class_weight_1,replay_class_weight_0,replay_class_weight_1,replay_weight_fallback
2017,0.8361854980802231,0.08137370164284666,0.7650898494414764,0.14710188775090952,0.8437613361399091,0.07536884488577236,0.6482767274552451,0.13503811805706817,0.8321375894542941,0.18060949279407096,0,1115129,0,0,0,0,0,,post_sampling_replay_class_weights_hard_example_mining_v1,0.018464221557745394,,,0.5094057812070024,27.079397765905778,,,no_replay
2018,0.8920567687410716,0.13494973176318606,0.7864898307743251,0.2303712495373738,0.883503734353695,0.13043585384482717,0.7521756118353284,0.22231904294465646,0.9055337589566113,0.42995228765737226,5575648,1117361,1117361,335208,335208,782153,782153,0.8112762570381165,post_sampling_replay_class_weights_hard_example_mining_v1,0.0205408921410745,0.07198747763703942,0.018464221557745394,0.510485834465298,24.34168859687342,0.5387858331123273,6.945652444179223,balanced
2019,0.8872815800039057,0.1274152716572063,0.7806658594571664,0.21907459399398804,0.8932713102699812,0.11850263896991982,0.751538097491718,0.2047243171656441,0.9042424163747328,0.4313196849833393,11162455,1117354,1117354,335206,335206,782148,782148,0.8698938488960266,post_sampling_replay_class_weights_hard_example_mining_v1,0.02025266473245458,0.12409764497196055,0.01950359486331636,0.5103356569614573,24.688109273776593,0.5708398854390498,4.029085323198304,balanced
2020,0.8870974150372839,0.11953623154908255,0.7950040832012297,0.20782417273306067,0.8911215456709465,0.10736326092065944,0.7431439992562983,0.18762065141495873,0.9057508575344748,0.46322891784799225,16749226,1117478,1117478,335243,335243,782235,782235,0.8783019582430521,post_sampling_replay_class_weights_hard_example_mining_v1,0.018628547988041647,0.1428278677522063,0.019753450099724013,0.5094910790149083,26.84052457126387,0.5833134106784734,3.50071738708202,balanced
2021,0.8873461008026877,0.10142066547655484,0.8143623150913666,0.180377162904631,0.8804243971756135,0.09443231441048035,0.7775084583143969,0.16841034503502852,0.9042572922025492,0.4246337977813965,22336618,1117371,1117371,335211,335211,782160,782160,0.8610776960849762,post_sampling_replay_class_weights_hard_example_mining_v1,0.01522180189033007,0.1491357839070461,0.019472061526950947,0.5077285433001812,32.847622351308765,0.5876378281553878,3.3526494239078253,balanced
2022,0.8361577445243988,0.13822283401155816,0.8301942937160861,0.23698839017216122,0.8328119634546038,0.12079562732319991,0.7644605571607698,0.20862546725930334,0.8839492157156377,0.3405051345053429,27923473,1118416,1118416,335524,335524,782892,782892,0.8596816897392273,post_sampling_replay_class_weights_hard_example_mining_v1,0.030648703165906066,0.1491412855323958,0.01862168076299105,0.515808873040148,16.313903961724723,0.5876416278028697,3.3525257490917375,balanced
