year,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,replay_pool_size,replay_target_size,replay_used_size,uncertain_target_size,uncertain_used_size,random_target_size,random_used_size,uncertain_threshold_mean
2017,0.8347166106450565,0.08061700008607016,0.7642350655658087,0.14584881981429199,0.8430479158305594,0.0768155212481799,0.6663878199765769,0.1377521464329872,0.8353837957156651,0.18884731339992686,0,2230210,0,0,0,0,0,
2018,0.8751845881388898,0.1208097813210303,0.8086669338956761,0.21021478826977877,0.8658296072735623,0.11731366376207411,0.77565445956026,0.20380316852936373,0.9046769256680256,0.4243930158039574,5575527,2234704,2234704,893881,893881,1340823,1340823,0.8889443874359131
2019,0.8949845355962311,0.13358785123237937,0.7629278725905239,0.22736443418987115,0.8984651851199399,0.12263666695183506,0.7400937916792153,0.21040786246796853,0.9032987916145421,0.42814407531973425,11162289,2234680,2234680,893872,893872,1340808,1340808,0.9061950147151947
2020,0.8875782726126797,0.11928700948484285,0.7887784022673776,0.2072340065704034,0.8877981147774333,0.10556883069530625,0.7536487868364786,0.1851959726100936,0.904746988338666,0.4632789185989003,16748990,2234945,2234945,893978,893978,1340967,1340967,0.8935148318608602
2021,0.9139447747748232,0.12450232092092928,0.7714541050304555,0.21440289678882593,0.9056747555598197,0.11461580498918574,0.7519567742261274,0.19891266597205526,0.9055526445117117,0.4366305849594719,22336353,2234732,2234732,893892,893892,1340840,1340840,0.9152159690856934
2022,0.7655915935935521,0.10497055607519729,0.8833187467180116,0.18764234272813415,0.7612924771824501,0.09399378583632793,0.8427465518181323,0.169124645799372,0.885701627554052,0.34815331426776697,27923184,2236846,2236846,894738,894738,1342108,1342108,0.9110329985618592
