year,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,replay_pool_size,replay_target_size,replay_used_size,replay_target_positive_rate,replay_actual_positive_rate,weight_policy,current_origin_weight,year_positive_rate,target_positive_rate,replay_multiplier_unclipped,replay_multiplier,replay_pool_positive_rate,current_class_weight_0,current_class_weight_1,replay_class_weight_0,replay_class_weight_1,replay_weight_fallback
2017,0.8040455566778965,0.07153650124561524,0.8024672170956775,0.13136259233376346,0.8139145830464463,0.06928369966932503,0.7151162790697675,0.12632815617195467,0.8387598635546756,0.18944464223104546,0,1672694,0,0.15,,post_sampling_replay_class_weights_v1,,0.018464221557745394,0.15,,,,0.5094057812070024,27.079397765905778,,,no_replay
2018,0.9021476847150797,0.14485541756564754,0.7675804736924658,0.2437172651738802,0.8944842597266979,0.14005703034829248,0.7327460661385998,0.2351646973660961,0.9037593183581297,0.4294852881343641,5575648,1676042,1676042,0.15,0.06142447504298818,post_sampling_replay_class_weights_v1,,0.0205408921410745,0.15,,,0.018464221557745394,0.510485834465298,24.34168859687342,0.5327221802666341,8.14007770762506,balanced
2019,0.869182216346437,0.11352562097228305,0.8018241756299327,0.1988913698061048,0.876566763921766,0.10515529674405419,0.7660370864346254,0.1849255312519474,0.9018114358304395,0.4244569060457647,11162455,1676031,1676031,0.15,0.1298949721097044,post_sampling_replay_class_weights_v1,,0.02025266473245458,0.15,,,0.01950359486331636,0.5103356569614573,24.688109273776593,0.5746432717580399,3.849263692652544,balanced
2020,0.8958412082059036,0.12515001341296397,0.7664504971897969,0.2151665210214584,0.8964564350136714,0.1115804765901029,0.7354280933345728,0.19376289701370988,0.9034600332805451,0.4587596744776812,16749226,1676217,1676217,0.15,0.15000026846166098,post_sampling_replay_class_weights_v1,,0.018628547988041647,0.15,,,0.019753450099724013,0.5094910790149083,26.84052457126387,0.5882354799043223,3.333327367529322,balanced
2021,0.8700589150783401,0.09115821919206353,0.8401966087345076,0.1644718518160453,0.8606499171541608,0.08337303730055373,0.7952835428975408,0.15092404923790495,0.9035540753071889,0.4378896262155588,22336618,1676056,1676056,0.15,0.1499997613444897,post_sampling_replay_class_weights_v1,,0.01522180189033007,0.15,,,0.019472061526950947,0.5077285433001812,32.847622351308765,0.5882351289581708,3.3333386367975564,balanced
2022,0.8548309394715383,0.15174489994572848,0.8140614971701966,0.255806299909886,0.8531402811075515,0.1322462969763741,0.7361936433516872,0.22421558168784322,0.8820967507028403,0.34549653152391047,27923473,1677624,1677624,0.15,0.1500002384324497,post_sampling_replay_class_weights_v1,,0.030648703165906066,0.15,,,0.01862168076299105,0.515808873040148,16.313903961724723,0.5882354591228488,3.3333280348428733,balanced
