year,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,replay_pool_size,replay_target_size,replay_used_size
2017,0.8130535463284457,0.0717644194869242,0.7645556095191841,0.13121266400332737,0.8249887863264005,0.07080614261558488,0.6848335285260164,0.12834270708812637,0.8345896427969485,0.17600165684203337,0,2230210,0
2018,0.8893665060369494,0.13193515126253208,0.7860889872601474,0.22594780482978774,0.882087704867757,0.12947289642289977,0.755834191738003,0.2210759256950505,0.903989217966673,0.43805964000414066,5575527,2234704,2234704
2019,0.8943227854864615,0.13344608606689587,0.7677711295924771,0.2273726033169792,0.8996857388675589,0.12443113082550838,0.7434496407520543,0.21318200043179225,0.9045501595441602,0.4235206248808142,11162289,2234680,2234680
2020,0.8733601163912207,0.10851068798555215,0.8035451794206658,0.19120153350776184,0.8766190563820903,0.09669788836455503,0.7543460072510924,0.17142163024304713,0.9032027191894381,0.4554373838450313,16748990,2234945,2234945
2021,0.9096265843731446,0.1206639525995956,0.7852237717833541,0.20918310609205035,0.9027382490588473,0.11126829085737809,0.7506943392415291,0.19380997079682938,0.9048219944710292,0.4330136870656278,22336353,2234732,2234732
2022,0.8114626019918042,0.1240364937954927,0.8497987047085594,0.21647615926374295,0.8064105233793941,0.10874084247375433,0.7942266804775664,0.19129121735847818,0.8827601841612941,0.35043757081968474,27923184,2236846,2236846
