source_id,source_label,source_section,evaluation_scope,row_uid,model_year,eval_year,year,years_included,scaler_year_used,threshold_used,threshold_source,threshold_reason,n_val_threshold_samples,n_test_samples,accuracy,precision,recall,f1_score,roc_auc,pr_auc
year_model_cumulative,Year model on cumulative years,14,year_model_on_2017_to_current_year,year_model_cumulative:2021:None,2021,,2021,2017-2021,,0.9321193049381581,computed_pr_f1_eval_year,max F1 on eval-year 2021 validation PR curve,1307470,5690815,0.9740608331144133,0.3103764200827182,0.34153296655817034,0.32521016470330094,0.804068789328568,0.29561286991591634
year_model_cumulative,Year model on cumulative years,14,year_model_on_2017_to_current_year,year_model_cumulative:2022:None,2022,,2022,2017-2022,,0.8971509716556711,computed_pr_f1_eval_year,max F1 on eval-year 2022 validation PR curve,1308587,6830415,0.9412786777962979,0.17677423234788536,0.4929529239949968,0.2602294797144138,0.8222678775527265,0.31152784884800194
year_model_next_year,Year model on next year,14,year_model_on_next_year,year_model_next_year:2017:2018,2017,2018.0,2017,,2018.0,0.8252530207694163,computed_pr_f1_eval_year,max F1 on eval-year 2017 validation PR curve,1305399,1138784,0.9499185095681008,0.2002523924702913,0.33373058992604016,0.25030890974577386,0.8555337139342698,0.179371682650007
year_model_next_year,Year model on next year,14,year_model_on_next_year,year_model_next_year:2018:2019,2018,2019.0,2018,,2019.0,0.9275535013507994,computed_pr_f1_eval_year,max F1 on eval-year 2018 validation PR curve,1307403,1138747,0.9821312372282869,0.7753973738769868,0.10226961990702761,0.1807054276050894,0.8247656607464025,0.2243463407846819
year_model_next_year,Year model on next year,14,year_model_on_next_year,year_model_next_year:2019:2020,2019,2020.0,2019,,2020.0,0.8744928432951162,computed_pr_f1_eval_year,max F1 on eval-year 2019 validation PR curve,1307185,1138965,0.9846711707559056,0.6459968602825745,0.38859247367675526,0.4852737403814971,0.8774630811382516,0.45626586524885254
year_model_next_year,Year model on next year,14,year_model_on_next_year,year_model_next_year:2020:2021,2020,2021.0,2020,,2021.0,0.9140986443755311,computed_pr_f1_eval_year,max F1 on eval-year 2020 validation PR curve,1307359,1138849,0.9840259771049542,0.43824475127671647,0.274428520668009,0.3375091041514931,0.8795301417622712,0.30191733327656173
year_model_next_year,Year model on next year,14,year_model_on_next_year,year_model_next_year:2021:2022,2021,2022.0,2021,,2022.0,0.9321193049381581,computed_pr_f1_eval_year,max F1 on eval-year 2021 validation PR curve,1307470,1139600,0.968971568971569,0.6219495661605207,0.23551003644950974,0.3416495997021039,0.8628110839276492,0.37612824979295845
standalone_prior_years,Standalone prior-years,15,year_model_on_all_prior_years_local,standalone_prior_years:2017:2017,2017,2017.0,2017,,2017.0,0.8252530207694163,computed_pr_f1_eval_year,max F1 on eval-year 2017 validation PR curve,1305399,1135470,0.9547649871859231,0.0895752009184845,0.24982388728786423,0.1318685033381222,0.8172809080668784,0.0684185025437959
standalone_prior_years,Standalone prior-years,15,year_model_on_all_prior_years_local,standalone_prior_years:2018:2017,2018,2017.0,2017,,2017.0,0.5312269398335309,computed_pr_f1_eval_year,max F1 on eval-year 2017 validation PR curve,1305399,1135470,0.9576545395298863,0.08553118696862154,0.21453730387447967,0.122302946223212,0.8024668126627077,0.06849505366537062
standalone_prior_years,Standalone prior-years,15,year_model_on_all_prior_years_local,standalone_prior_years:2018:2018,2018,2018.0,2018,,2018.0,0.9275535013507994,computed_pr_f1_eval_year,max F1 on eval-year 2018 validation PR curve,1307403,1138784,0.9715837243937393,0.43154283263643184,0.423253531494269,0.4273579897363299,0.8845267875361214,0.40632590856065326
standalone_prior_years,Standalone prior-years,15,year_model_on_all_prior_years_local,standalone_prior_years:2019:2017,2019,2017.0,2017,,2017.0,0.43164057242004983,computed_pr_f1_eval_year,max F1 on eval-year 2017 validation PR curve,1305399,1135470,0.9610513707979955,0.09119227251943302,0.2043547870637208,0.12610903629932618,0.7902313985623278,0.06019584240153547
standalone_prior_years,Standalone prior-years,15,year_model_on_all_prior_years_local,standalone_prior_years:2019:2018,2019,2018.0,2018,,2018.0,0.8193808618527315,computed_pr_f1_eval_year,max F1 on eval-year 2018 validation PR curve,1307403,1138784,0.9706160255149352,0.4134531036176708,0.41301833222335166,0.41323560356316197,0.8780593278433031,0.3582822998627049
standalone_prior_years,Standalone prior-years,15,year_model_on_all_prior_years_local,standalone_prior_years:2019:2019,2019,2019.0,2019,,2019.0,0.8744928432951162,computed_pr_f1_eval_year,max F1 on eval-year 2019 validation PR curve,1307185,1138747,0.9770133313194239,0.4061530277506871,0.41755537325676784,0.4117752808988764,0.8712161350325147,0.3778857295484127
standalone_prior_years,Standalone prior-years,15,year_model_on_all_prior_years_local,standalone_prior_years:2020:2017,2020,2017.0,2017,,2017.0,0.5101392523081979,computed_pr_f1_eval_year,max F1 on eval-year 2017 validation PR curve,1305399,1135470,0.9594159246831708,0.07652961943679983,0.17630483509446046,0.10673024734434365,0.7801902033103233,0.05520285337831274
standalone_prior_years,Standalone prior-years,15,year_model_on_all_prior_years_local,standalone_prior_years:2020:2018,2020,2018.0,2018,,2018.0,0.8658547170624076,computed_pr_f1_eval_year,max F1 on eval-year 2018 validation PR curve,1307403,1138784,0.9694621631494647,0.39538466691228186,0.41378947737390026,0.40437776179221047,0.8752571587050326,0.36404951957304793
standalone_prior_years,Standalone prior-years,15,year_model_on_all_prior_years_local,standalone_prior_years:2020:2019,2020,2019.0,2019,,2019.0,0.9585835621029918,computed_pr_f1_eval_year,max F1 on eval-year 2019 validation PR curve,1307185,1138747,0.9791305707062236,0.4512540777581689,0.38455929268070366,0.415245687852169,0.8607709287807135,0.37206932957905425
standalone_prior_years,Standalone prior-years,15,year_model_on_all_prior_years_local,standalone_prior_years:2020:2020,2020,2020.0,2020,,2020.0,0.9140986443755311,computed_pr_f1_eval_year,max F1 on eval-year 2020 validation PR curve,1307359,1138965,0.9840688695438402,0.6004635761589404,0.42811275319892345,0.4998483971443535,0.8889189590809506,0.4686039499892079
standalone_prior_years,Standalone prior-years,15,year_model_on_all_prior_years_local,standalone_prior_years:2021:2017,2021,2017.0,2017,,2017.0,0.5043330603150917,computed_pr_f1_eval_year,max F1 on eval-year 2017 validation PR curve,1305399,1135470,0.9574176332267695,0.0770979743695742,0.19109830291386487,0.1098694747694177,0.7795605279069047,0.05681021078939805
standalone_prior_years,Standalone prior-years,15,year_model_on_all_prior_years_local,standalone_prior_years:2021:2018,2021,2018.0,2018,,2018.0,0.8695507917417801,computed_pr_f1_eval_year,max F1 on eval-year 2018 validation PR curve,1307403,1138784,0.969536804170062,0.3928645941998748,0.3960180868589856,0.39443503761760956,0.8725277362574368,0.3579631482198959
standalone_prior_years,Standalone prior-years,15,year_model_on_all_prior_years_local,standalone_prior_years:2021:2019,2021,2019.0,2019,,2019.0,0.9783831369507313,computed_pr_f1_eval_year,max F1 on eval-year 2019 validation PR curve,1307185,1138747,0.9784473636374015,0.43217023939915505,0.3776319387476073,0.4030645749726377,0.8591672044491514,0.36505453562958057
standalone_prior_years,Standalone prior-years,15,year_model_on_all_prior_years_local,standalone_prior_years:2021:2020,2021,2020.0,2020,,2020.0,0.9396460334149914,computed_pr_f1_eval_year,max F1 on eval-year 2020 validation PR curve,1307359,1138965,0.9835771950850114,0.5794782832176818,0.42584635724066294,0.4909234411996843,0.8810996000233372,0.46269867018150107
standalone_prior_years,Standalone prior-years,15,year_model_on_all_prior_years_local,standalone_prior_years:2021:2021,2021,2021.0,2021,,2021.0,0.9321193049381581,computed_pr_f1_eval_year,max F1 on eval-year 2021 validation PR curve,1307470,1138849,0.9845449221099549,0.4662704028681951,0.29266848276678903,0.3596143350918683,0.886093018864709,0.32513673252949143
standalone_prior_years,Standalone prior-years,15,year_model_on_all_prior_years_local,standalone_prior_years:2022:2017,2022,2017.0,2017,,2017.0,0.7087143189127504,computed_pr_f1_eval_year,max F1 on eval-year 2017 validation PR curve,1305399,1135470,0.9618563238130465,0.09215409082876834,0.20038424591738713,0.12624826000121042,0.7966737076981913,0.05946633617026952
standalone_prior_years,Standalone prior-years,15,year_model_on_all_prior_years_local,standalone_prior_years:2022:2018,2022,2018.0,2018,,2018.0,0.9744054351447486,computed_pr_f1_eval_year,max F1 on eval-year 2018 validation PR curve,1307403,1138784,0.9732100205131087,0.4564154517024182,0.36320936590837394,0.40451280449718924,0.8784506013830797,0.3781922274334222
standalone_prior_years,Standalone prior-years,15,year_model_on_all_prior_years_local,standalone_prior_years:2022:2019,2022,2019.0,2019,,2019.0,0.9830595159093647,computed_pr_f1_eval_year,max F1 on eval-year 2019 validation PR curve,1307185,1138747,0.9774085025031899,0.4092565947242206,0.3888888888888889,0.3988128622172369,0.8607371574203923,0.3606814257650702
standalone_prior_years,Standalone prior-years,15,year_model_on_all_prior_years_local,standalone_prior_years:2022:2020,2022,2020.0,2020,,2020.0,0.9657666341353119,computed_pr_f1_eval_year,max F1 on eval-year 2020 validation PR curve,1307359,1138965,0.9827492504159479,0.5478049085118342,0.4141838613721139,0.47171434717143473,0.8781503561442945,0.43928439225714827
standalone_prior_years,Standalone prior-years,15,year_model_on_all_prior_years_local,standalone_prior_years:2022:2021,2022,2021.0,2021,,2021.0,0.9665099191519906,computed_pr_f1_eval_year,max F1 on eval-year 2021 validation PR curve,1307470,1138849,0.985028743933568,0.4912017167381974,0.27111216392277626,0.34938563687705104,0.887537625993426,0.3190104337423052
standalone_prior_years,Standalone prior-years,15,year_model_on_all_prior_years_local,standalone_prior_years:2022:2022,2022,2022.0,2022,,2022.0,0.8971509716556711,computed_pr_f1_eval_year,max F1 on eval-year 2022 validation PR curve,1308587,1139600,0.9624350649350649,0.45005576738515807,0.44537707274500743,0.4477041968236766,0.8747934292885929,0.40954876783113503
