year,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc
2017,0.779400090429805,0.058033918368416426,0.6886889083991806,0.10704725892546182,0.7931041602305088,0.0628709872804361,0.7007107969662074,0.11538876519112122,0.8166728142137146,0.11983756338219097
2018,0.8760867671981194,0.10936178063597907,0.7352375720955782,0.19040244303952847,0.8804563844812148,0.13649730153604872,0.7826302565458874,0.2324528672427337,0.90914384054514,0.4287400402476853
2019,0.8621184562366083,0.09751659841672948,0.7092404113056685,0.1714585966696702,0.8791153998221194,0.1088290321622665,0.6953172434729812,0.18820133835258349,0.8676278919865072,0.35272735201295896
2020,0.8462806429316442,0.08463268049632773,0.7282287033073387,0.15164196110994305,0.8644865744408183,0.10993721766290392,0.7396255685223707,0.19142170169859613,0.8781849298925453,0.4096248013787412
2021,0.898917223600192,0.10163249476095962,0.7188731874870329,0.17808743325433313,0.8935816830131083,0.10975937084803994,0.7157171611096526,0.19033046311380034,0.8891013712968933,0.37476399038981106
2022,0.7674746882429184,0.09597696043695145,0.8066968485418626,0.17154438457609647,0.7618748868085002,0.09668776027387109,0.8264129911585134,0.1731209102632822,0.8728339268395564,0.31245526196095286
